HHID_panel,year,income,DSR,loanamount,DIR,caste,assets,jatis,DAR,ISR,std_assets,std_income,std_DSR,std_DAR,std_loanamount,std_ISR,std_DIR
GOV45,2010,32,7215.625,70,2.1875,Upper,361.5,Mudaliar,19.363762,15.90625,.11798583,-.66428399,-.0095816897,-.17078535,-.40477455,-.060476776,-.083506122
GOV45,2016,108.10126,52.37751,224.7,2.0786066,Upper,270.25317,Mudaliar,83.144257,0,-.14123644,.13068616,-.15902081,.016908523,.4486756,-.11478283,-.089800633
GOV45,2020,107.6087,1789.7421,193,1.7935354,Upper,273.26086,Mudaliar,70.628479,12.886143,-.13269192,.12554069,-.12277604,-.019923033,.27379283,-.070787825,-.10627899
GOV46,2010,48.5,9417.5068,80,1.6494845,Upper,321.5,Mudaliar,24.88336,25.314375,.0043502008,-.49192145,.0363538,-.15454222,-.34960645,-.028356181,-.11460576
GOV46,2016,60.759495,2155.8206,31.6,.52008331,Upper,90.506332,Mudaliar,34.914684,11.759021,-.65187758,-.36385614,-.11513894,-.12502195,-.61661994,-.074635968,-.17989008
GOV46,2020,130.43478,1574.3616,54.299999,.4163,Upper,469.29349,Mudaliar,11.570585,15.743616,.42421538,.36398691,-.1272693,-.19371919,-.49138844,-.061032027,-.18588921
GOV47,2010,214,7850.479,250,1.1682243,Upper,461.5,Mudaliar,54.171181,17.195194,.4020749,1.236927,.003662586,-.068353735,.58825088,-.056076147,-.1424247
GOV48,2010,62,2306.4517,62,1,Upper,150.5,Mudaliar,41.196014,15.000001,-.48144212,-.35089755,-.11199649,-.10653719,-.44890901,-.063570827,-.1521488
GOV48,2016,274.81012,0,243.7,.88679415,Upper,626.58228,Mudaliar,38.893536,0,.87105566,1.8721627,-.1601135,-.11331294,.55349493,-.11478283,-.1586926
GOV48,2020,12.826087,43220.34,521.70001,40.674915,Upper,713.36957,Mudaliar,73.131798,16.949152,1.1176089,-.86457878,.74154592,-.012556242,2.0871675,-.05691617,2.1412344
GOV49,2016,174.68355,2418.6233,221.5,1.2680073,Middle,493.92407,Vanniyar,44.844948,24.186234,.49418816,.82621896,-.10965637,-.095799066,.43102184,-.032207806,-.13665681
GOV49,2020,103.69566,484.30322,125.1,1.2064151,Middle,217.5,Vanniyar,57.517242,0,-.29110244,.084664226,-.15001,-.058506913,-.10079844,-.11478283,-.14021711
GOV5,2010,85,3081.5295,35,.41176471,Upper,165.5,Mudaliar,21.148037,4.932941,-.43882877,-.11063461,-.095826872,-.16553457,-.59786284,-.097941115,-.18615137
GOV50,2010,44.5,7472.6655,60,1.3483146,Upper,337.5,Mudaliar,17.777779,32.499565,.049804453,-.53370631,-.0042193299,-.1754526,-.45994261,-.0038249823,-.13201469
GOV50,2016,82.025322,3289.3691,95.599998,1.1654937,Upper,42.721519,Mudaliar,223.77481,19.445871,-.78762901,-.14170873,-.091490939,.43075752,-.26354426,-.048392035,-.14258254
GOV50,2020,104.34782,845.16699,65.099998,.62387502,Upper,200.59782,Mudaliar,32.452995,8.4516697,-.33911967,.091476917,-.1424817,-.13226622,-.43180692,-.08592771,-.17389047
GOV51,2010,102,1248.1862,38,.37254903,Upper,135.5,Mudaliar,28.044281,3.6583333,-.52405548,.066951044,-.13407394,-.14524023,-.58131242,-.1022928,-.18841821
GOV51,2016,54.303799,324.00934,335.39999,6.1763635,Upper,597.34174,Mudaliar,56.148762,3.2400932,.78798646,-.43129373,-.15335405,-.062534094,1.0593863,-.10372072,.14706759
GOV51,2020,250.3261,0,220.2,.87965256,Upper,722.28259,Mudaliar,30.486683,0,1.1429298,1.6163973,-.1601135,-.13805272,.42384997,-.11478283,-.15910541
