HHID_panel,caste,jatis,cat_income,cat_assets,villageid,villagearea,sbd_annualincome,sbd_assets_noland,sbd_loanamount,sbd_dsr,sbd_dar,sbd_expenses,sbd_dir
ORA27,Dalits,SC,T2 in.,T2 as.,ORA,Colony,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Dec,Dec-Dec,Inc-Dec
ORA28,Dalits,SC,T2 in.,T2 as.,ORA,Colony,Dec-Inc,Inc-Inc,Dec-Inc,Dec-Inc,Dec-Dec,Dec-Inc,Inc-Inc
ORA29,Dalits,SC,T1 in.,T2 as.,ORA,Colony,Dec-Inc,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Inc
ORA30,Middle,Vanniyar,T1 in.,T3 as.,ORA,Ur,Sta-Dec,Dec-Dec,Inc-Inc,INC-INC,Inc-Inc,Dec-Inc,Inc-Inc
ORA32,Dalits,SC,T3 in.,T2 as.,ORA,Colony,Inc-Dec,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Inc,Inc-Inc
ORA33,Middle,Vanniyar,T2 in.,T1 as.,ORA,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Dec,DEC-INC
ORA35,Dalits,SC,T2 in.,T2 as.,ORA,Colony,Dec-Inc,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Dec,Inc-Dec
ORA36,Middle,Vanniyar,T3 in.,T3 as.,ORA,Ur,Dec-Inc,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Dec,Inc-Dec
ORA38,Middle,Padayachi,T2 in.,T2 as.,ORA,Ur,Dec-Inc,Inc-Inc,Inc-Dec,Sta-Dec,Dec-Dec,Dec-Inc,Dec-Dec
ORA39,Dalits,SC,T2 in.,T1 as.,ORA,Colony,Dec-Inc,Dec-Inc,Inc-Inc,Dec-Inc,Inc-Inc,Dec-Inc,Inc-Inc
ORA40,Dalits,SC,T1 in.,T2 as.,ORA,Colony,Inc-Dec,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Inc
ORA41,Dalits,SC,T1 in.,T2 as.,ORA,Colony,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Dec,Inc-Dec,Inc-Dec
ORA43,Dalits,SC,T2 in.,T2 as.,ORA,Colony,Dec-Inc,Dec-Inc,Inc-Inc,INC-INC,Inc-Inc,Inc-Dec,Inc-Dec
ORA44,Middle,Vanniyar,T3 in.,T3 as.,ORA,Ur,Dec-Sta,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Dec,Inc-Inc
ORA45,Dalits,SC,T2 in.,T1 as.,ORA,Colony,Inc-Dec,Inc-Inc,Dec-Inc,Inc-Inc,Dec-Dec,Dec-Dec,Dec-Dec
ORA46,Dalits,SC,T2 in.,T2 as.,ORA,Colony,Dec-Inc,Dec-Dec,Inc-Inc,INC-INC,Inc-Inc,Dec-Dec,Inc-Inc
ORA47,Middle,Vanniyar,T1 in.,T3 as.,ORA,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Dec,Dec-Inc,Inc-Dec
ORA48,Dalits,SC,T2 in.,T1 as.,ORA,Colony,Dec-Inc,Dec-Dec,Inc-Inc,INC-INC,Inc-Inc,Inc-Dec,Inc-Inc
ORA49,Dalits,SC,T2 in.,T2 as.,ORA,Colony,Inc-Dec,Dec-Inc,Inc-Inc,INC-INC,Inc-Inc,Inc-Dec,Inc-Inc
ORA51,Middle,Vanniyar,T1 in.,T3 as.,ORA,Colony,Sta-Dec,Dec-Inc,Dec-Inc,Dec-Dec,Dec-Dec,Inc-Dec,Dec-Dec
ORA52,Middle,Vanniyar,T3 in.,T3 as.,ORA,Ur,Inc-Dec,DEC-INC,Dec-Inc,Dec-Inc,Dec-Inc,Dec-Inc,DEC-INC
ORA8,Dalits,SC,T2 in.,T3 as.,ORA,Colony,Dec-Inc,Inc-Inc,Inc-Inc,INC-INC,Inc-Inc,Dec-Inc,Inc-Dec
ORA9,Middle,Vanniyar,T3 in.,T3 as.,ORA,Ur,Dec-Inc,Inc-Inc,Inc-Dec,Sta-Dec,Dec-Dec,Dec-Dec,Inc-Dec
SEM1,Middle,Muslims,T3 in.,T3 as.,SEM,Ur,Inc-Dec,Dec-Dec,Dec-Inc,Inc-Inc,Dec-Inc,Dec-Dec,DEC-INC
SEM10,Upper,Chettiyar,T2 in.,T3 as.,SEM,Ur,Sta-Dec,Dec-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
SEM12,Dalits,SC,T3 in.,T1 as.,SEM,Colony,Inc-Dec,Inc-Inc,Inc-Inc,Dec-Inc,Dec-Dec,Dec-Dec,Dec-Dec
SEM13,Dalits,SC,T3 in.,T2 as.,SEM,Colony,Inc-Dec,Dec-Dec,Dec-Inc,Inc-Inc,Dec-Inc,Dec-Inc,Inc-Inc
SEM15,Dalits,SC,T1 in.,T1 as.,SEM,Colony,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Dec
SEM16,Middle,Muslims,T3 in.,T3 as.,SEM,Ur,Dec-Inc,Inc-Inc,Inc-Inc,INC-INC,Inc-Inc,Inc-Dec,Inc-Inc
SEM17,Upper,Naidu,T3 in.,T2 as.,SEM,Ur,Inc-Dec,Inc-Inc,Dec-Inc,Inc-Inc,Dec-Inc,Dec-Dec,DEC-INC
SEM18,Upper,Naidu,T2 in.,T1 as.,SEM,Ur,Inc-Dec,Dec-Inc,Dec-Inc,Dec-Dec,Dec-Inc,Inc-Dec,DEC-INC
SEM19,Dalits,SC,T3 in.,T1 as.,SEM,Colony,Inc-Dec,Dec-Inc,Inc-Dec,Dec-Dec,Inc-Dec,Inc-Dec,Dec-Dec
SEM2,Middle,Kulalar,T2 in.,T1 as.,SEM,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
SEM20,Middle,Vanniyar,T2 in.,T1 as.,SEM,Ur,Dec-Inc,Dec-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Inc
SEM22,Dalits,SC,T2 in.,T1 as.,SEM,Colony,Dec-Sta,Dec-Dec,Dec-Inc,Dec-Dec,Dec-Inc,Dec-Dec,Inc-Dec
SEM25,Dalits,SC,T2 in.,T1 as.,SEM,Colony,Dec-Inc,Inc-Inc,Inc-Inc,INC-INC,Dec-Inc,Dec-Dec,Inc-Inc
SEM26,Middle,Muslims,T1 in.,T1 as.,SEM,Ur,Dec-Inc,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
