HHID_panel,caste,jatis,cat_income,cat_assets,villageid,villagearea,sbd_annualincome,sbd_assets_noland,sbd_loanamount,sbd_dsr,sbd_dar,sbd_expenses,sbd_dir
ELA1,Middle,Nattar,T1 in.,T3 as.,ELA,Ur,Dec-Inc,Dec-Inc,Inc-Dec,Dec-Dec,Dec-Dec,Dec-Inc,Inc-Dec
ELA10,Middle,Nattar,T1 in.,T1 as.,ELA,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc
ELA11,Middle,Vanniyar,T3 in.,T3 as.,ELA,Ur,Sta-Dec,Dec-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,DEC-INC
ELA12,Middle,Vanniyar,T3 in.,T3 as.,ELA,Ur,Sta-Dec,Dec-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc
ELA13,Middle,Nattar,T2 in.,T2 as.,ELA,Ur,Dec-Inc,Dec-Inc,Inc-Inc,Dec-Dec,Dec-Dec,Dec-Inc,Inc-Dec
ELA14,Dalits,SC,T1 in.,T2 as.,ELA,Colony,Inc-Dec,DEC-INC,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Dec
ELA15,Dalits,SC,T3 in.,T3 as.,ELA,Colony,Sta-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,DEC-INC
ELA16,Middle,Vanniyar,T3 in.,T2 as.,ELA,Ur,Inc-Dec,Dec-Inc,Inc-Dec,Dec-Dec,Inc-Dec,Dec-Inc,Inc-Dec
ELA17,Dalits,SC,T2 in.,T1 as.,ELA,Colony,Inc-Dec,Inc-Inc,Inc-Inc,INC-INC,Dec-Dec,Dec-Dec,Inc-Inc
ELA19,Dalits,SC,T1 in.,T1 as.,ELA,Colony,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Inc,Inc-Dec,Inc-Inc
ELA2,Middle,Vanniyar,T3 in.,T3 as.,ELA,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc,Dec-Dec,Inc-Inc
ELA20,Dalits,SC,T2 in.,T2 as.,ELA,Colony,Sta-Dec,Inc-Inc,Inc-Inc,INC-INC,Inc-Inc,Inc-Dec,Inc-Inc
ELA21,Middle,Vanniyar,T2 in.,T1 as.,ELA,Ur,Inc-Dec,Inc-Inc,Inc-Dec,Sta-Dec,Dec-Dec,Dec-Dec,Inc-Dec
ELA22,Dalits,SC,T2 in.,T1 as.,ELA,Colony,Inc-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Inc,DEC-INC
ELA23,Middle,Vanniyar,T1 in.,T1 as.,ELA,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Sta-Dec,Inc-Inc,Dec-Dec,Inc-Inc
ELA24,Dalits,SC,T2 in.,T3 as.,ELA,Colony,Sta-Dec,Dec-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,DEC-INC
ELA26,Dalits,SC,T3 in.,T3 as.,ELA,Colony,Sta-Dec,Dec-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc
ELA27,Dalits,SC,T3 in.,T2 as.,ELA,Colony,Dec-Inc,Dec-Dec,Inc-Inc,Dec-Dec,Inc-Inc,Dec-Dec,Inc-Dec
ELA30,Middle,Vanniyar,T2 in.,T2 as.,ELA,Ur,Dec-Inc,Inc-Inc,Dec-Inc,Dec-Inc,Dec-Inc,Dec-Inc,DEC-INC
ELA31,Dalits,SC,T1 in.,T2 as.,ELA,Colony,Inc-Dec,DEC-INC,Inc-Inc,Dec-Dec,Inc-Dec,Dec-Dec,Dec-Dec
ELA33,Middle,Vanniyar,T2 in.,T2 as.,ELA,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
ELA35,Dalits,SC,T3 in.,T2 as.,ELA,Colony,Dec-Sta,Dec-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc
ELA36,Dalits,SC,T2 in.,T2 as.,ELA,Colony,Dec-Inc,DEC-INC,Inc-Inc,Dec-Dec,Inc-Dec,Inc-Dec,Inc-Dec
ELA37,Dalits,SC,T2 in.,T3 as.,ELA,Colony,Dec-Inc,Dec-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Inc
ELA38,Dalits,SC,T2 in.,T2 as.,ELA,Colony,Dec-Inc,Dec-Inc,Dec-Inc,Dec-Dec,Dec-Dec,Dec-Dec,Dec-Dec
ELA39,Middle,Vanniyar,T3 in.,T2 as.,ELA,Ur,Sta-Dec,Inc-Inc,Inc-Inc,INC-INC,Inc-Inc,Inc-Dec,Inc-Inc
ELA4,Dalits,SC,T3 in.,T2 as.,ELA,Colony,Inc-Dec,Dec-Inc,Inc-Inc,Dec-Dec,Inc-Inc,Dec-Inc,Inc-Inc
ELA40,Dalits,SC,T2 in.,T3 as.,ELA,Colony,Dec-Inc,Dec-Dec,Inc-Inc,Dec-Dec,Inc-Inc,Inc-Dec,Inc-Dec
ELA41,Dalits,SC,T3 in.,T3 as.,ELA,Colony,Dec-Sta,Dec-Dec,Dec-Inc,Inc-Inc,Dec-Dec,Dec-Dec,Inc-Inc
ELA42,Middle,Nattar,T1 in.,T3 as.,ELA,Ur,Dec-Inc,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Dec,Inc-Inc
ELA43,Middle,Nattar,T2 in.,T2 as.,ELA,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Dec,Inc-Dec,Inc-Inc
ELA44,Dalits,SC,T1 in.,T3 as.,ELA,Colony,Inc-Dec,DEC-INC,Dec-Inc,Dec-Dec,Inc-Dec,Dec-Inc,Dec-Dec
ELA45,Dalits,SC,T2 in.,T1 as.,ELA,Colony,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
ELA49,Middle,Padayachi,T2 in.,T2 as.,ELA,Ur,Dec-Inc,DEC-INC,Inc-Dec,Dec-Dec,Inc-Dec,Dec-Dec,Dec-Dec
ELA5,Middle,Padayachi,T3 in.,T3 as.,ELA,Ur,Inc-Dec,DEC-INC,Inc-Dec,Dec-Dec,Inc-Dec,Dec-Inc,Dec-Dec
ELA50,Dalits,SC,T3 in.,T1 as.,ELA,Colony,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Dec,Inc-Dec
ELA52,Dalits,SC,T2 in.,T2 as.,ELA,Colony,Inc-Dec,DEC-INC,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Dec,Dec-Dec
ELA6,Dalits,SC,T3 in.,T1 as.,ELA,Colony,Dec-Sta,Dec-Inc,Dec-Inc,INC-INC,Dec-Inc,Inc-Dec,Inc-Inc
ELA7,Middle,Nattar,T3 in.,T1 as.,ELA,Ur,Dec-Inc,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Inc
ELA8,Dalits,SC,T2 in.,T3 as.,ELA,Colony,Dec-Sta,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
ELA9,Dalits,SC,T3 in.,T1 as.,ELA,Colony,Dec-Sta,Inc-Inc,Inc-Inc,INC-INC,Dec-Dec,Dec-Inc,Inc-Inc
GOV11,Upper,Mudaliar,T1 in.,T2 as.,GOV,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc,Inc-Dec,Inc-Dec
GOV13,Upper,Mudaliar,T2 in.,T3 as.,GOV,Ur,Dec-Inc,Dec-Dec,Dec-Inc,Dec-Dec,Inc-Inc,Dec-Dec,Dec-Dec
GOV14,Upper,Mudaliar,T3 in.,T2 as.,GOV,Ur,Sta-Dec,Dec-Dec,Inc-Dec,Dec-Dec,Dec-Dec,Dec-Dec,Inc-Dec
GOV17,Upper,Mudaliar,T3 in.,T3 as.,GOV,Ur,Dec-Inc,DEC-INC,Inc-Dec,Dec-Dec,Inc-Dec,Inc-Dec,Inc-Dec
GOV18,Upper,Mudaliar,T3 in.,T3 as.,GOV,Ur,Sta-Dec,Dec-Dec,Inc-Dec,Inc-Inc,Inc-Dec,Dec-Dec,Inc-Dec
GOV19,Upper,Mudaliar,T1 in.,T3 as.,GOV,Ur,Inc-Dec,DEC-INC,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,DEC-INC
GOV2,Upper,Mudaliar,T3 in.,T3 as.,GOV,Ur,Inc-Dec,Dec-Dec,Inc-Dec,Sta-Dec,Inc-Dec,Dec-Dec,Inc-Dec
GOV20,Upper,Mudaliar,T3 in.,T2 as.,GOV,Ur,Dec-Inc,Dec-Inc,Inc-Inc,Dec-Dec,Inc-Dec,Inc-Dec,Inc-Dec
GOV21,Upper,Mudaliar,T2 in.,T3 as.,GOV,Ur,Inc-Dec,Dec-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
GOV22,Upper,Mudaliar,T2 in.,T3 as.,GOV,Ur,Dec-Inc,Dec-Dec,Inc-Dec,Sta-Dec,Inc-Dec,Inc-Dec,Inc-Dec
GOV23,Upper,Mudaliar,T3 in.,T1 as.,GOV,Ur,Dec-Inc,Inc-Inc,Dec-Inc,Inc-Inc,Dec-Inc,Dec-Inc,Dec-Dec
GOV25,Upper,Mudaliar,T1 in.,T2 as.,GOV,Ur,Inc-Dec,Dec-Dec,Inc-Dec,Inc-Inc,Inc-Inc,Dec-Inc,Dec-Dec
GOV26,Upper,Mudaliar,T3 in.,T3 as.,GOV,Ur,Dec-Sta,Dec-Dec,Inc-Dec,INC-INC,Inc-Inc,Dec-Dec,Inc-Inc
GOV28,Upper,Mudaliar,T3 in.,T3 as.,GOV,Ur,Inc-Dec,Dec-Dec,Inc-Inc,Dec-Dec,Inc-Inc,Inc-Dec,Inc-Dec
GOV29,Upper,Mudaliar,T2 in.,T3 as.,GOV,Ur,Inc-Dec,Dec-Dec,Dec-Inc,Dec-Inc,Dec-Inc,Inc-Dec,DEC-INC
GOV3,Upper,Mudaliar,T1 in.,T2 as.,GOV,Ur,Inc-Dec,Inc-Inc,Inc-Dec,Dec-Dec,Inc-Dec,Inc-Dec,Inc-Dec
GOV31,Upper,Mudaliar,T2 in.,T3 as.,GOV,Ur,Dec-Inc,DEC-INC,Inc-Dec,Dec-Dec,Inc-Dec,Dec-Inc,Inc-Dec
GOV32,Upper,Mudaliar,T3 in.,T3 as.,GOV,Ur,Dec-Sta,Dec-Dec,Dec-Inc,Dec-Inc,Dec-Inc,Dec-Inc,Inc-Inc
GOV33,Upper,Mudaliar,T1 in.,T3 as.,GOV,Ur,Dec-Inc,DEC-INC,Inc-Inc,Dec-Dec,Inc-Dec,Inc-Dec,Dec-Dec
GOV34,Upper,Mudaliar,T2 in.,T2 as.,GOV,Ur,Inc-Dec,Dec-Dec,Dec-Inc,Dec-Inc,Dec-Dec,Dec-Dec,Dec-Dec
GOV35,Upper,Mudaliar,T1 in.,T2 as.,GOV,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc,Dec-Dec,Dec-Dec
GOV37,Upper,Mudaliar,T1 in.,T1 as.,GOV,Ur,Dec-Inc,Inc-Inc,Inc-Dec,Sta-Dec,Dec-Dec,Inc-Dec,Inc-Dec
GOV38,Middle,Kulalar,T1 in.,T3 as.,GOV,Ur,Dec-Inc,Dec-Inc,Inc-Inc,Dec-Dec,Inc-Inc,Dec-Dec,Inc-Dec
GOV39,Upper,Mudaliar,T2 in.,T3 as.,GOV,Ur,Dec-Sta,Dec-Dec,Inc-Dec,Sta-Dec,Inc-Dec,Dec-Dec,Inc-Dec
GOV4,Upper,Mudaliar,T2 in.,T2 as.,GOV,Ur,Inc-Dec,DEC-INC,Inc-Dec,Sta-Dec,Inc-Dec,Inc-Dec,Inc-Dec
GOV40,Upper,Mudaliar,T1 in.,T3 as.,GOV,Ur,Dec-Inc,Dec-Dec,Inc-Inc,Dec-Dec,Inc-Inc,Inc-Dec,Dec-Dec
GOV41,Upper,Mudaliar,T1 in.,T2 as.,GOV,Ur,Dec-Inc,Dec-Inc,Inc-Dec,Dec-Dec,Inc-Dec,Dec-Dec,Inc-Dec
GOV42,Upper,Mudaliar,T2 in.,T3 as.,GOV,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Sta-Dec,Inc-Inc,Dec-Dec,Inc-Inc
GOV44,Middle,Vanniyar,T2 in.,T2 as.,GOV,Ur,Inc-Dec,Inc-Inc,Inc-Dec,Dec-Dec,Dec-Dec,Dec-Dec,Inc-Dec
GOV45,Upper,Mudaliar,T1 in.,T3 as.,GOV,Ur,Inc-Dec,Dec-Dec,Inc-Inc,Dec-Inc,Inc-Inc,Dec-Dec,Dec-Dec
GOV46,Upper,Mudaliar,T1 in.,T3 as.,GOV,Ur,Dec-Inc,Dec-Inc,Dec-Inc,Dec-Dec,Dec-Dec,Inc-Dec,Dec-Dec
GOV48,Upper,Mudaliar,T2 in.,T1 as.,GOV,Ur,Sta-Dec,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Inc,Inc-Dec,DEC-INC
GOV50,Upper,Mudaliar,T1 in.,T3 as.,GOV,Ur,Dec-Inc,DEC-INC,Inc-Inc,Dec-Dec,Inc-Dec,Inc-Dec,Dec-Dec
GOV51,Upper,Mudaliar,T3 in.,T1 as.,GOV,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Sta-Dec,Inc-Inc,Inc-Dec,Inc-Dec
GOV52,Upper,Mudaliar,T1 in.,T3 as.,GOV,Ur,Dec-Inc,Dec-Dec,Inc-Inc,Sta-Dec,Inc-Inc,Inc-Dec,Inc-Dec
GOV6,Upper,Mudaliar,T2 in.,T1 as.,GOV,Ur,Inc-Dec,Inc-Inc,Inc-Dec,Inc-Inc,Inc-Dec,Inc-Dec,Inc-Dec
GOV7,Upper,Mudaliar,T3 in.,T3 as.,GOV,Ur,Dec-Sta,Dec-Dec,Inc-Inc,Dec-Dec,Inc-Inc,Dec-Inc,Inc-Inc
KAR10,Middle,Vanniyar,T1 in.,T1 as.,KAR,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc
KAR11,Middle,Vanniyar,T3 in.,T3 as.,KAR,Ur,Sta-Dec,Inc-Inc,Inc-Dec,INC-INC,Dec-Dec,Dec-Dec,Inc-Inc
KAR12,Middle,Vanniyar,T1 in.,T2 as.,KAR,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Dec,Inc-Dec,Inc-Dec
KAR13,Dalits,Arunthathiyar,T1 in.,T1 as.,KAR,Colony,Dec-Inc,Dec-Inc,Inc-Inc,Dec-Dec,Inc-Dec,Dec-Inc,Inc-Dec
KAR14,Middle,Vanniyar,T2 in.,T2 as.,KAR,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Dec,Dec-Dec,Inc-Inc
KAR15,Middle,Vanniyar,T2 in.,T2 as.,KAR,Ur,Sta-Dec,Dec-Dec,Inc-Inc,INC-INC,Inc-Inc,Dec-Dec,Inc-Inc
KAR17,Middle,Vanniyar,T2 in.,T2 as.,KAR,Ur,Inc-Dec,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
KAR18,Dalits,SC,T1 in.,T1 as.,KAR,Colony,Inc-Dec,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,DEC-INC
KAR19,Dalits,SC,T1 in.,T3 as.,KAR,Colony,Inc-Dec,Dec-Dec,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
KAR2,Middle,Vanniyar,T1 in.,T2 as.,KAR,Ur,Dec-Inc,Inc-Inc,Dec-Inc,Dec-Dec,Dec-Inc,Inc-Dec,Dec-Dec
KAR20,Dalits,SC,T3 in.,T1 as.,KAR,Colony,Sta-Dec,Inc-Inc,Inc-Dec,Inc-Inc,Dec-Dec,Inc-Dec,Dec-Dec
KAR21,Dalits,SC,T2 in.,T2 as.,KAR,Colony,Dec-Sta,Dec-Dec,Inc-Inc,INC-INC,Inc-Inc,Dec-Dec,Inc-Inc
KAR23,Dalits,SC,T1 in.,T2 as.,KAR,Colony,Dec-Inc,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Dec,Inc-Dec
KAR25,Middle,Vanniyar,T1 in.,T2 as.,KAR,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Dec,Inc-Dec,Inc-Dec
KAR26,Dalits,SC,T2 in.,T1 as.,KAR,Colony,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Dec-Dec,Inc-Dec,Dec-Dec
KAR27,Middle,Vanniyar,T3 in.,T3 as.,KAR,Ur,Dec-Inc,Inc-Inc,Inc-Dec,Dec-Dec,Dec-Dec,Dec-Dec,Inc-Dec
KAR28,Dalits,SC,T2 in.,T1 as.,KAR,Colony,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc
KAR29,Dalits,SC,T1 in.,T2 as.,KAR,Colony,Dec-Inc,Dec-Inc,Dec-Inc,Dec-Inc,Dec-Inc,Inc-Dec,DEC-INC
KAR3,Middle,Vanniyar,T2 in.,T2 as.,KAR,Ur,Sta-Dec,Inc-Inc,Dec-Inc,Dec-Inc,Dec-Inc,Inc-Dec,DEC-INC
KAR30,Middle,Vanniyar,T1 in.,T1 as.,KAR,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Inc,Dec-Dec
KAR32,Middle,Vanniyar,T1 in.,T1 as.,KAR,Ur,Inc-Dec,Dec-Inc,Inc-Dec,Inc-Inc,Dec-Dec,Dec-Dec,Dec-Dec
KAR33,Dalits,SC,T3 in.,T1 as.,KAR,Colony,Dec-Sta,Dec-Inc,Dec-Inc,Inc-Inc,Dec-Inc,Dec-Dec,DEC-INC
KAR34,Dalits,SC,T1 in.,T1 as.,KAR,Colony,Inc-Dec,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Inc,Dec-Dec
KAR35,Middle,Vanniyar,T2 in.,T3 as.,KAR,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Dec,Dec-Dec
KAR36,Middle,Vanniyar,T1 in.,T3 as.,KAR,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Sta-Dec,Inc-Inc,Dec-Dec,Dec-Dec
KAR38,Middle,Vanniyar,T3 in.,T3 as.,KAR,Ur,Inc-Dec,Dec-Dec,Inc-Inc,Dec-Inc,Inc-Inc,Dec-Dec,DEC-INC
KAR42,Dalits,SC,T2 in.,T1 as.,KAR,Colony,Dec-Inc,Inc-Inc,Dec-Inc,Dec-Dec,Dec-Dec,Dec-Dec,Dec-Dec
KAR43,Dalits,SC,T1 in.,T1 as.,KAR,Colony,Dec-Inc,Inc-Inc,Inc-Dec,Dec-Inc,Dec-Dec,Dec-Dec,Inc-Dec
KAR44,Middle,Vanniyar,T3 in.,T3 as.,KAR,Ur,Dec-Inc,DEC-INC,Dec-Inc,Dec-Dec,Dec-Dec,Dec-Dec,Dec-Dec
KAR45,Middle,Vanniyar,T2 in.,T3 as.,KAR,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc,Inc-Dec,Inc-Dec
KAR46,Middle,Vanniyar,T1 in.,T2 as.,KAR,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Dec,Dec-Inc,Inc-Dec
KAR47,Dalits,SC,T2 in.,T1 as.,KAR,Colony,Inc-Dec,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc
KAR48,Upper,Yathavar,T2 in.,T3 as.,KAR,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Inc,Dec-Dec,Inc-Inc
KAR49,Dalits,SC,T2 in.,T1 as.,KAR,Colony,Inc-Dec,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Dec,DEC-INC
KAR50,Middle,Vanniyar,T1 in.,T2 as.,KAR,Ur,Inc-Dec,DEC-INC,Inc-Inc,Inc-Inc,Inc-Dec,Dec-Inc,Inc-Inc
KAR6,Dalits,SC,T1 in.,T1 as.,KAR,Colony,Inc-Dec,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc
KAR7,Middle,Vanniyar,T1 in.,T1 as.,KAR,Ur,Inc-Dec,Inc-Inc,Inc-Dec,Dec-Dec,Dec-Dec,Dec-Dec,Dec-Dec
KAR8,Dalits,SC,T1 in.,T1 as.,KAR,Colony,Inc-Dec,Dec-Inc,Dec-Inc,Inc-Inc,Dec-Inc,Dec-Dec,DEC-INC
KAR9,Dalits,SC,T2 in.,T1 as.,KAR,Colony,Inc-Dec,Inc-Inc,Inc-Dec,Dec-Dec,Dec-Dec,Inc-Dec,Dec-Dec
KOR1,Middle,Vanniyar,T2 in.,T2 as.,KOR,Ur,Dec-Inc,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Dec-Dec,Inc-Dec
KOR10,Dalits,SC,T3 in.,T2 as.,KOR,Colony,Sta-Dec,Dec-Dec,Inc-Dec,INC-INC,Inc-Inc,Dec-Dec,Inc-Inc
KOR11,Middle,Vanniyar,T2 in.,T1 as.,KOR,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Dec
KOR14,Middle,Vanniyar,T1 in.,T1 as.,KOR,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Dec,Inc-Inc
KOR15,Dalits,SC,T2 in.,T2 as.,KOR,Colony,Dec-Inc,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
KOR16,Middle,Vanniyar,T1 in.,T3 as.,KOR,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Inc,Inc-Dec,Inc-Inc
KOR17,Middle,Vanniyar,T1 in.,T1 as.,KOR,Ur,Dec-Inc,Inc-Inc,Inc-Dec,Dec-Dec,Inc-Dec,Inc-Dec,Inc-Dec
KOR19,Dalits,SC,T1 in.,T3 as.,KOR,Colony,Inc-Dec,Dec-Dec,Inc-Inc,Dec-Dec,Inc-Inc,Inc-Dec,Dec-Dec
KOR2,Dalits,SC,T1 in.,T2 as.,KOR,Colony,Inc-Dec,DEC-INC,Inc-Dec,Dec-Dec,Inc-Dec,Inc-Dec,Dec-Dec
KOR20,Middle,Vanniyar,T3 in.,T3 as.,KOR,Ur,Sta-Dec,Dec-Dec,Inc-Dec,Inc-Inc,Inc-Dec,Inc-Dec,Inc-Dec
KOR22,Middle,Vanniyar,T2 in.,T3 as.,KOR,Ur,Inc-Dec,DEC-INC,Inc-Dec,Dec-Dec,Inc-Dec,Dec-Inc,Dec-Dec
KOR23,Dalits,SC,T2 in.,T2 as.,KOR,Colony,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
KOR24,Middle,Vanniyar,T3 in.,T2 as.,KOR,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Dec,Inc-Dec,Dec-Dec
KOR25,Dalits,SC,T2 in.,T1 as.,KOR,Colony,Sta-Dec,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Dec-Inc,Inc-Inc
KOR26,Dalits,SC,T3 in.,T2 as.,KOR,Colony,Sta-Dec,Dec-Dec,Inc-Inc,INC-INC,Inc-Inc,Dec-Dec,Inc-Inc
KOR27,Middle,Vanniyar,T2 in.,T3 as.,KOR,Ur,Dec-Inc,Dec-Dec,Inc-Dec,Dec-Inc,Dec-Dec,Dec-Inc,Inc-Dec
KOR29,Middle,Vanniyar,T3 in.,T2 as.,KOR,Ur,Dec-Sta,Dec-Dec,Inc-Dec,Inc-Inc,Dec-Dec,Dec-Dec,Inc-Dec
KOR3,Middle,Vanniyar,T3 in.,T3 as.,KOR,Ur,Sta-Dec,Dec-Dec,Inc-Inc,Dec-Dec,Inc-Inc,Dec-Dec,Inc-Inc
KOR30,Dalits,SC,T3 in.,T2 as.,KOR,Colony,Inc-Dec,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Dec,Inc-Inc
KOR32,Dalits,SC,T2 in.,T2 as.,KOR,Colony,Dec-Inc,Dec-Inc,Inc-Dec,INC-INC,Inc-Dec,Dec-Inc,Inc-Dec
KOR33,Upper,Naidu,T3 in.,T3 as.,KOR,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Sta-Dec,Dec-Dec,Dec-Dec,Inc-Inc
KOR34,Middle,Vanniyar,T1 in.,T2 as.,KOR,Ur,Dec-Inc,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Inc
KOR35,Dalits,SC,T2 in.,T2 as.,KOR,Colony,Dec-Inc,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
KOR36,Dalits,SC,T1 in.,T2 as.,KOR,Colony,Sta-Dec,Dec-Inc,Inc-Inc,Dec-Dec,Inc-Dec,Inc-Dec,Inc-Inc
KOR37,Dalits,SC,T2 in.,T3 as.,KOR,Colony,Inc-Dec,Dec-Dec,Inc-Dec,Dec-Dec,Inc-Dec,Inc-Dec,Inc-Dec
KOR38,Dalits,SC,T3 in.,T1 as.,KOR,Colony,Sta-Dec,Inc-Inc,Inc-Dec,INC-INC,Dec-Dec,Dec-Dec,Inc-Inc
KOR39,Middle,Vanniyar,T1 in.,T3 as.,KOR,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Dec,Inc-Inc
KOR4,Dalits,SC,T1 in.,T2 as.,KOR,Colony,Inc-Dec,Dec-Inc,Inc-Dec,Sta-Dec,Inc-Dec,Inc-Dec,Dec-Dec
KOR40,Dalits,SC,T1 in.,T1 as.,KOR,Colony,Inc-Dec,Inc-Inc,Inc-Dec,Dec-Dec,Dec-Dec,Inc-Dec,Dec-Dec
KOR41,Dalits,SC,T1 in.,T2 as.,KOR,Colony,Dec-Inc,Dec-Inc,Inc-Inc,Dec-Dec,Inc-Inc,Dec-Dec,Inc-Dec
KOR42,Middle,Vanniyar,T1 in.,T3 as.,KOR,Ur,Inc-Dec,Dec-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Dec
KOR44,Middle,Vanniyar,T1 in.,T1 as.,KOR,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
KOR45,Middle,Vanniyar,T1 in.,T1 as.,KOR,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Inc
KOR5,Dalits,SC,T1 in.,T1 as.,KOR,Colony,Dec-Sta,Inc-Inc,Inc-Inc,Dec-Inc,Dec-Dec,Inc-Dec,Inc-Inc
KOR9,Middle,Vanniyar,T1 in.,T1 as.,KOR,Ur,Inc-Dec,Inc-Inc,Inc-Dec,Dec-Dec,Dec-Dec,Inc-Dec,Dec-Dec
KUV1,Dalits,SC,T1 in.,T3 as.,KUV,Colony,Inc-Dec,DEC-INC,Inc-Inc,Dec-Dec,Inc-Inc,Inc-Dec,Inc-Inc
