HHID_panel,tempo,de_assets1,de_assets2,di_assets,de_DAR1,de_DAR2,di_DAR,de_DSR1,de_DSR2,di_DSR,de_income1,de_income2,di_income,de_ISR1,de_ISR2,di_ISR,de_expenses1,de_expenses2,di_expenses,cat_assets_b,cat_DAR_b,cat_DSR_b,cat_income_b,cat_ISR_b,cat_expenses_b
ELA44,1,-95.666916,2216.4905,-301.8291,350.91333,-85.961662,.72295928,-96.984901,136.70374,-1.2184256,263.23611,-23.237816,60.544304,-100,.08966051,-.16934782,15.54513,43.543159,5705.0625,Dec,Inc,Dec,Inc,Dec,Inc
ELA44,2,-95.666916,2216.4905,303.01389,350.91333,-85.961662,-.79856789,-96.984901,136.70374,.051781721,263.23611,-23.237816,-19.413872,-100,.08966051,.08966051,15.54513,43.543159,18464.504,Inc,Dec,Inc,Dec,Sta,Inc
ELA45,1,33.953384,36.659031,55.683548,60.895622,12.242734,.16263586,414.13013,3.3567505,.55060244,-39.460648,38.171928,-27.227848,-34.420681,181.38948,-.035786659,57.261074,-24.688164,28115.188,Inc,Inc,Inc,Dec,Dec,Inc
ELA45,2,33.953384,36.659031,80.533859,60.895622,12.242734,.052608132,414.13013,3.3567505,.022945285,-39.460648,38.171928,15.945236,-34.420681,181.38948,.12367465,57.261074,-24.688164,-19063.012,Inc,Inc,Sta,Inc,Inc,Dec
ELA49,1,-95.966423,1964.3604,-185.21519,1132.5101,-95.239403,4.1075497,-72.838821,-36.561256,-.22922942,43.335815,44.863068,29.468353,-94.241714,439.16122,-.08570233,-8.2647886,-12.977821,-4248.1016,Dec,Inc,Dec,Inc,Dec,Sta
ELA49,2,-95.966423,1964.3604,152.92172,1132.5101,-95.239403,-4.2574334,-72.838821,-36.561256,-.031251956,43.335815,44.863068,43.727295,-94.241714,439.16122,.022996768,-8.2647886,-12.977821,-6119.2891,Inc,Dec,Dec,Inc,Inc,Dec
ELA5,1,-91.383354,845.85406,-357.76581,225.54753,-96.057076,2.2468333,-48.006973,-57.831028,-.24141741,1.683954,-67.096703,2.2430267,-62.244755,135.30148,-.077250823,-43.766178,41.331272,-30811.391,Dec,Inc,Dec,Sta,Dec,Dec
ELA5,2,-91.383354,845.85406,285.34192,225.54753,-96.057076,-3.1151328,-48.006973,-57.831028,-.15120642,1.683954,-67.096703,-90.877808,-62.244755,135.30148,.063398689,-43.766178,41.331272,16362.477,Inc,Dec,Dec,Dec,Inc,Inc
ELA50,1,93.374634,55.533936,131.65823,-52.736641,50.020844,-.16082805,314.07797,-45.068951,.096618906,-46.470715,366.13062,-54.835442,155.83626,-85.036118,.047939461,-33.517708,22.049271,-23931.645,Inc,Dec,Inc,Dec,Inc,Dec
ELA50,2,93.374634,55.533936,151.41785,-52.736641,50.020844,.072098285,314.07797,-45.068951,-.057409562,-46.470715,366.13062,231.2648,155.83626,-85.036118,-.066925272,-33.517708,22.049271,10466.426,Inc,Inc,Dec,Inc,Dec,Inc
ELA52,1,-84.068092,553.18005,-170.65823,343.55438,-86.820648,1.0154316,-56.5737,32.938316,-.29622197,71.258377,-67.33223,48.455696,-100,0,-.26937529,48.611794,-32.920715,17597.469,Dec,Inc,Dec,Inc,Dec,Inc
ELA52,2,-84.068092,553.18005,178.90823,343.55438,-86.820648,-1.1382171,-56.5737,32.938316,.07489571,71.258377,-67.33223,-78.412216,-100,0,0,48.611794,-32.920715,-17710.512,Inc,Dec,Inc,Dec,Sta,Dec
ELA6,1,6.8277764,66.882942,9.0126648,-48.515259,146.69284,-.15436673,11807.305,385.5675,.80504358,-83.745682,8.2868366,-73.696205,1893.3059,708.34991,.12908906,92.75029,-16.111147,44891.141,Sta,Dec,Inc,Dec,Inc,Inc
ELA6,2,6.8277764,66.882942,94.313416,-48.515259,146.69284,.24030501,11807.305,385.5675,3.130275,-83.745682,8.2868366,1.1853323,1893.3059,708.34991,.96269876,92.75029,-16.111147,-15030.273,Inc,Inc,Inc,Sta,Inc,Dec
ELA7,1,-15.77793,38.204262,-20.037971,220.06483,6.3176122,.39854261,-45.855736,162.40465,-.035787411,-38.084755,14.8744,-35.037975,2059.7544,-100,.040299542,4.7577453,22.990267,1103.7969,Dec,Inc,Dec,Dec,Inc,Sta
ELA7,2,-15.77793,38.204262,40.864052,220.06483,6.3176122,.036619723,-45.855736,162.40465,.068625815,-38.084755,14.8744,8.4727592,2059.7544,-100,-.042256065,4.7577453,22.990267,5587.5078,Inc,Sta,Inc,Inc,Dec,Inc
ELA8,1,-60.694149,68.460869,-158.71519,493.29587,17.296444,.47160217,908.40698,17.604265,2.405808,-88.354431,61.285442,-66.265823,2439.825,-48.746983,.95812726,53.922325,-15.571598,15853.164,Dec,Inc,Inc,Dec,Inc,Inc
ELA8,2,-60.694149,68.460869,70.367371,493.29587,17.296444,.098106205,908.40698,17.604265,.47014761,-88.354431,61.285442,5.3527794,2439.825,-48.746983,-.48620123,53.922325,-15.571598,-7046.6406,Inc,Inc,Inc,Inc,Dec,Dec
