"","HHID_panel","caste","jatis","cat_income","cat_assets","villageid","villagearea","sbd_annualincome","sbd_assets_noland","sbd_loanamount","sbd_dsr","sbd_dar","sbd_expenses","sbd_dir","sbd_dsr","sbd_dar","sbd_assets_noland","clust"
"95","KAR28","Dalits","SC","T2 in.","T1 as.","KAR","Colony","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","4"
"96","KAR29","Dalits","SC","T1 in.","T2 as.","KAR","Colony","Dec-Inc","Dec-Inc","Dec-Inc","Dec-Inc","Dec-Inc","Inc-Dec","DEC-INC","sbd_dsr_Dec-Inc","sbd_dar_Dec-Inc","sbd_assets_noland_Dec-Inc","1"
"97","KAR3","Middle","Vanniyar","T2 in.","T2 as.","KAR","Ur","Sta-Dec","Inc-Inc","Dec-Inc","Dec-Inc","Dec-Inc","Inc-Dec","DEC-INC","sbd_dsr_Dec-Inc","sbd_dar_Dec-Inc","sbd_assets_noland_Inc-Inc","1"
"98","KAR30","Middle","Vanniyar","T1 in.","T1 as.","KAR","Ur","Inc-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Inc","Dec-Dec","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"99","KAR32","Middle","Vanniyar","T1 in.","T1 as.","KAR","Ur","Inc-Dec","Dec-Inc","Inc-Dec","Inc-Inc","Dec-Dec","Dec-Dec","Dec-Dec","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","4"
"100","KAR33","Dalits","SC","T3 in.","T1 as.","KAR","Colony","Dec-Sta","Dec-Inc","Dec-Inc","Inc-Inc","Dec-Inc","Dec-Dec","DEC-INC","sbd_dsr_Inc-Inc","sbd_dar_Dec-Inc","sbd_assets_noland_Dec-Inc","1"
"101","KAR34","Dalits","SC","T1 in.","T1 as.","KAR","Colony","Inc-Dec","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Inc","Dec-Dec","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","4"
"102","KAR35","Middle","Vanniyar","T2 in.","T3 as.","KAR","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Dec","Dec-Dec","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"103","KAR36","Middle","Vanniyar","T1 in.","T3 as.","KAR","Ur","Inc-Dec","Inc-Inc","Inc-Inc","Sta-Dec","Inc-Inc","Dec-Dec","Dec-Dec","sbd_dsr_Sta-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","3"
"104","KAR38","Middle","Vanniyar","T3 in.","T3 as.","KAR","Ur","Inc-Dec","Dec-Dec","Inc-Inc","Dec-Inc","Inc-Inc","Dec-Dec","DEC-INC","sbd_dsr_Dec-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","1"
"105","KAR42","Dalits","SC","T2 in.","T1 as.","KAR","Colony","Dec-Inc","Inc-Inc","Dec-Inc","Dec-Dec","Dec-Dec","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"106","KAR43","Dalits","SC","T1 in.","T1 as.","KAR","Colony","Dec-Inc","Inc-Inc","Inc-Dec","Dec-Inc","Dec-Dec","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","1"
"107","KAR44","Middle","Vanniyar","T3 in.","T3 as.","KAR","Ur","Dec-Inc","DEC-INC","Dec-Inc","Dec-Dec","Dec-Dec","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_DEC-INC","5"
"108","KAR45","Middle","Vanniyar","T2 in.","T3 as.","KAR","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","Inc-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","3"
"109","KAR46","Middle","Vanniyar","T1 in.","T2 as.","KAR","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Dec","Dec-Inc","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"110","KAR47","Dalits","SC","T2 in.","T1 as.","KAR","Colony","Inc-Dec","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","4"
"111","KAR48","Upper","Yathavar","T2 in.","T3 as.","KAR","Ur","Inc-Dec","Inc-Inc","Inc-Inc","Dec-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","1"
"112","KAR49","Dalits","SC","T2 in.","T1 as.","KAR","Colony","Inc-Dec","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Dec","DEC-INC","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","4"
"113","KAR50","Middle","Vanniyar","T1 in.","T2 as.","KAR","Ur","Inc-Dec","DEC-INC","Inc-Inc","Inc-Inc","Inc-Dec","Dec-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","5"
"114","KAR6","Dalits","SC","T1 in.","T1 as.","KAR","Colony","Inc-Dec","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","4"
"115","KAR7","Middle","Vanniyar","T1 in.","T1 as.","KAR","Ur","Inc-Dec","Inc-Inc","Inc-Dec","Dec-Dec","Dec-Dec","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"116","KAR8","Dalits","SC","T1 in.","T1 as.","KAR","Colony","Inc-Dec","Dec-Inc","Dec-Inc","Inc-Inc","Dec-Inc","Dec-Dec","DEC-INC","sbd_dsr_Inc-Inc","sbd_dar_Dec-Inc","sbd_assets_noland_Dec-Inc","1"
"117","KAR9","Dalits","SC","T2 in.","T1 as.","KAR","Colony","Inc-Dec","Inc-Inc","Inc-Dec","Dec-Dec","Dec-Dec","Inc-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"118","KOR1","Middle","Vanniyar","T2 in.","T2 as.","KOR","Ur","Dec-Inc","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Dec","Dec-Dec","Inc-Dec","sbd_dsr_Inc-Inc","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","4"
"119","KOR10","Dalits","SC","T3 in.","T2 as.","KOR","Colony","Sta-Dec","Dec-Dec","Inc-Dec","INC-INC","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_INC-INC","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","2"
"120","KOR11","Middle","Vanniyar","T2 in.","T1 as.","KOR","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Dec","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","4"
"121","KOR14","Middle","Vanniyar","T1 in.","T1 as.","KOR","Ur","Inc-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"122","KOR15","Dalits","SC","T2 in.","T2 as.","KOR","Colony","Dec-Inc","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","4"
"123","KOR16","Middle","Vanniyar","T1 in.","T3 as.","KOR","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Inc","Inc-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Dec-Inc","sbd_assets_noland_Inc-Inc","1"
"124","KOR17","Middle","Vanniyar","T1 in.","T1 as.","KOR","Ur","Dec-Inc","Inc-Inc","Inc-Dec","Dec-Dec","Inc-Dec","Inc-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Inc-Inc","5"
"125","KOR19","Dalits","SC","T1 in.","T3 as.","KOR","Colony","Inc-Dec","Dec-Dec","Inc-Inc","Dec-Dec","Inc-Inc","Inc-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","2"
"126","KOR2","Dalits","SC","T1 in.","T2 as.","KOR","Colony","Inc-Dec","DEC-INC","Inc-Dec","Dec-Dec","Inc-Dec","Inc-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","5"
"127","KOR20","Middle","Vanniyar","T3 in.","T3 as.","KOR","Ur","Sta-Dec","Dec-Dec","Inc-Dec","Inc-Inc","Inc-Dec","Inc-Dec","Inc-Dec","sbd_dsr_Inc-Inc","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Dec","4"
"128","KOR22","Middle","Vanniyar","T2 in.","T3 as.","KOR","Ur","Inc-Dec","DEC-INC","Inc-Dec","Dec-Dec","Inc-Dec","Dec-Inc","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","5"
"129","KOR23","Dalits","SC","T2 in.","T2 as.","KOR","Colony","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","4"
"130","KOR24","Middle","Vanniyar","T3 in.","T2 as.","KOR","Ur","Inc-Dec","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Dec","Inc-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"131","KOR25","Dalits","SC","T2 in.","T1 as.","KOR","Colony","Sta-Dec","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Dec","Dec-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","4"
"132","KOR26","Dalits","SC","T3 in.","T2 as.","KOR","Colony","Sta-Dec","Dec-Dec","Inc-Inc","INC-INC","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_INC-INC","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","2"
"133","KOR27","Middle","Vanniyar","T2 in.","T3 as.","KOR","Ur","Dec-Inc","Dec-Dec","Inc-Dec","Dec-Inc","Dec-Dec","Dec-Inc","Inc-Dec","sbd_dsr_Dec-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Dec","1"
"134","KOR29","Middle","Vanniyar","T3 in.","T2 as.","KOR","Ur","Dec-Sta","Dec-Dec","Inc-Dec","Inc-Inc","Dec-Dec","Dec-Dec","Inc-Dec","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Dec","4"
"135","KOR3","Middle","Vanniyar","T3 in.","T3 as.","KOR","Ur","Sta-Dec","Dec-Dec","Inc-Inc","Dec-Dec","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","2"
"136","KOR30","Dalits","SC","T3 in.","T2 as.","KOR","Colony","Inc-Dec","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Dec","Inc-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","4"
"137","KOR32","Dalits","SC","T2 in.","T2 as.","KOR","Colony","Dec-Inc","Dec-Inc","Inc-Dec","INC-INC","Inc-Dec","Dec-Inc","Inc-Dec","sbd_dsr_INC-INC","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","4"
"138","KOR33","Upper","Naidu","T3 in.","T3 as.","KOR","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Sta-Dec","Dec-Dec","Dec-Dec","Inc-Inc","sbd_dsr_Sta-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"139","KOR34","Middle","Vanniyar","T1 in.","T2 as.","KOR","Ur","Dec-Inc","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","4"
"140","KOR35","Dalits","SC","T2 in.","T2 as.","KOR","Colony","Dec-Inc","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","4"
"141","KOR36","Dalits","SC","T1 in.","T2 as.","KOR","Colony","Sta-Dec","Dec-Inc","Inc-Inc","Dec-Dec","Inc-Dec","Inc-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","5"
"142","KOR37","Dalits","SC","T2 in.","T3 as.","KOR","Colony","Inc-Dec","Dec-Dec","Inc-Dec","Dec-Dec","Inc-Dec","Inc-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Dec","5"
"143","KOR38","Dalits","SC","T3 in.","T1 as.","KOR","Colony","Sta-Dec","Inc-Inc","Inc-Dec","INC-INC","Dec-Dec","Dec-Dec","Inc-Inc","sbd_dsr_INC-INC","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"144","KOR39","Middle","Vanniyar","T1 in.","T3 as.","KOR","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Inc","Inc-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Dec-Inc","sbd_assets_noland_Inc-Inc","1"
"145","KOR4","Dalits","SC","T1 in.","T2 as.","KOR","Colony","Inc-Dec","Dec-Inc","Inc-Dec","Sta-Dec","Inc-Dec","Inc-Dec","Dec-Dec","sbd_dsr_Sta-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","5"
"146","KOR40","Dalits","SC","T1 in.","T1 as.","KOR","Colony","Inc-Dec","Inc-Inc","Inc-Dec","Dec-Dec","Dec-Dec","Inc-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"147","KOR41","Dalits","SC","T1 in.","T2 as.","KOR","Colony","Dec-Inc","Dec-Inc","Inc-Inc","Dec-Dec","Inc-Inc","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","4"
"148","KOR42","Middle","Vanniyar","T1 in.","T3 as.","KOR","Ur","Inc-Dec","Dec-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Dec","Inc-Dec","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","2"
"149","KOR44","Middle","Vanniyar","T1 in.","T1 as.","KOR","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","4"
"150","KOR45","Middle","Vanniyar","T1 in.","T1 as.","KOR","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","4"
"151","KOR5","Dalits","SC","T1 in.","T1 as.","KOR","Colony","Dec-Sta","Inc-Inc","Inc-Inc","Dec-Inc","Dec-Dec","Inc-Dec","Inc-Inc","sbd_dsr_Dec-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","1"
"152","KOR9","Middle","Vanniyar","T1 in.","T1 as.","KOR","Ur","Inc-Dec","Inc-Inc","Inc-Dec","Dec-Dec","Dec-Dec","Inc-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"153","KUV1","Dalits","SC","T1 in.","T3 as.","KUV","Colony","Inc-Dec","DEC-INC","Inc-Inc","Dec-Dec","Inc-Inc","Inc-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_DEC-INC","5"
"154","KUV12","Dalits","SC","T1 in.","T1 as.","KUV","Colony","Inc-Dec","Inc-Inc","Inc-Dec","Dec-Dec","Dec-Dec","Inc-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"155","KUV13","Middle","Vanniyar","T3 in.","T2 as.","KUV","Ur","Dec-Inc","Dec-Inc","Inc-Inc","Dec-Dec","Inc-Dec","Dec-Inc","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","5"
"156","KUV14","Middle","Vanniyar","T2 in.","T3 as.","KUV","Ur","Sta-Dec","Dec-Dec","Inc-Inc","Dec-Dec","Dec-Dec","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Dec","3"
"157","KUV15","Dalits","SC","T1 in.","T2 as.","KUV","Colony","Dec-Inc","DEC-INC","Dec-Inc","Dec-Dec","Inc-Dec","Inc-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","5"
"158","KUV17","Dalits","SC","T3 in.","T2 as.","KUV","Colony","Sta-Dec","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Dec","DEC-INC","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","4"
"159","KUV18","Middle","Vanniyar","T1 in.","T1 as.","KUV","Ur","Inc-Dec","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Dec","DEC-INC","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","4"
"160","KUV19","Dalits","SC","T1 in.","T1 as.","KUV","Colony","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Dec","Inc-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"161","KUV2","Middle","Vanniyar","T1 in.","T1 as.","KUV","Ur","Inc-Dec","Dec-Inc","Inc-Dec","Dec-Dec","Inc-Dec","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","5"
"162","KUV20","Dalits","SC","T2 in.","T1 as.","KUV","Colony","Dec-Inc","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Dec","Inc-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","4"
"163","KUV21","Dalits","SC","T3 in.","T2 as.","KUV","Colony","Dec-Inc","Dec-Inc","Inc-Inc","Dec-Inc","Dec-Dec","Dec-Inc","Inc-Inc","sbd_dsr_Dec-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","1"
"164","KUV22","Middle","Vanniyar","T3 in.","T3 as.","KUV","Ur","Dec-Inc","DEC-INC","Dec-Inc","Dec-Dec","Dec-Dec","Dec-Inc","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_DEC-INC","5"
"165","KUV23","Middle","Vanniyar","T1 in.","T2 as.","KUV","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","Inc-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","3"
"166","KUV26","Middle","Vanniyar","T1 in.","T2 as.","KUV","Ur","Dec-Inc","Dec-Inc","Inc-Inc","Dec-Dec","Inc-Dec","Dec-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","5"
"167","KUV27","Dalits","SC","T2 in.","T2 as.","KUV","Colony","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","Dec-Inc","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","3"
"168","KUV28","Dalits","SC","T2 in.","T1 as.","KUV","Colony","Inc-Dec","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Inc","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","4"
"169","KUV29","Dalits","SC","T2 in.","T1 as.","KUV","Colony","Inc-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Dec","Dec-Dec","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"170","KUV30","Dalits","SC","T1 in.","T1 as.","KUV","Colony","Inc-Dec","DEC-INC","Inc-Inc","Dec-Dec","Inc-Dec","Dec-Inc","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","5"
"171","KUV31","Middle","Vanniyar","T2 in.","T3 as.","KUV","Ur","Inc-Dec","DEC-INC","Inc-Dec","Dec-Dec","Inc-Dec","Dec-Inc","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","5"
"172","KUV32","Dalits","SC","T3 in.","T2 as.","KUV","Colony","Inc-Dec","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","4"
"173","KUV34","Middle","Vanniyar","T3 in.","T1 as.","KUV","Ur","Dec-Sta","Inc-Inc","Inc-Inc","INC-INC","Dec-Dec","Dec-Dec","Inc-Inc","sbd_dsr_INC-INC","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"174","KUV35","Middle","Vanniyar","T2 in.","T2 as.","KUV","Ur","Dec-Inc","DEC-INC","Inc-Dec","Sta-Dec","Inc-Dec","Dec-Dec","Dec-Dec","sbd_dsr_Sta-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","5"
"175","KUV37","Middle","Vanniyar","T3 in.","T1 as.","KUV","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Dec-Inc","sbd_assets_noland_Inc-Inc","1"
"176","KUV38","Middle","Vanniyar","T2 in.","T3 as.","KUV","Ur","Inc-Dec","Inc-Inc","Inc-Dec","Dec-Dec","Dec-Dec","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"177","KUV39","Middle","Vanniyar","T3 in.","T1 as.","KUV","Ur","Inc-Dec","Dec-Inc","Inc-Dec","Inc-Inc","Dec-Dec","Dec-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","4"
"178","KUV4","Dalits","SC","T3 in.","T2 as.","KUV","Colony","Dec-Inc","Inc-Inc","Inc-Dec","Dec-Dec","Dec-Dec","Inc-Dec","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"179","KUV40","Middle","Vanniyar","T2 in.","T2 as.","KUV","Ur","Inc-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Inc","Inc-Dec","Dec-Dec","sbd_dsr_Inc-Inc","sbd_dar_Dec-Inc","sbd_assets_noland_Inc-Inc","1"
"180","KUV41","Middle","Vanniyar","T1 in.","T3 as.","KUV","Ur","Inc-Dec","Dec-Inc","Inc-Dec","Dec-Dec","Inc-Dec","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","5"
"181","KUV43","Middle","Vanniyar","T1 in.","T2 as.","KUV","Ur","Dec-Inc","Dec-Inc","Inc-Inc","Dec-Inc","Dec-Dec","Inc-Dec","Inc-Dec","sbd_dsr_Dec-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","1"
"182","KUV44","Middle","Vanniyar","T2 in.","T3 as.","KUV","Ur","Dec-Inc","DEC-INC","Inc-Inc","Dec-Dec","Inc-Inc","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_DEC-INC","5"
"183","KUV46","Middle","Vanniyar","T2 in.","T3 as.","KUV","Ur","Inc-Dec","Dec-Inc","Dec-Inc","Dec-Dec","Inc-Inc","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Inc","4"
"184","KUV47","Dalits","SC","T2 in.","T3 as.","KUV","Colony","Inc-Dec","DEC-INC","Inc-Inc","Dec-Dec","Inc-Dec","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_DEC-INC","5"
"185","KUV50","Dalits","SC","T2 in.","T2 as.","KUV","Colony","Inc-Dec","Dec-Inc","Inc-Dec","Sta-Dec","Inc-Dec","Dec-Inc","Inc-Dec","sbd_dsr_Sta-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","5"
"186","KUV52","Middle","Vanniyar","T1 in.","T2 as.","KUV","Ur","Sta-Dec","Inc-Inc","Inc-Dec","Inc-Inc","Dec-Dec","Dec-Inc","Inc-Dec","sbd_dsr_Inc-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"187","KUV6","Middle","Vanniyar","T3 in.","T1 as.","KUV","Ur","Inc-Dec","Inc-Inc","Inc-Inc","Dec-Inc","Dec-Dec","Dec-Dec","Inc-Inc","sbd_dsr_Dec-Inc","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","1"
"188","KUV7","Middle","Vanniyar","T3 in.","T3 as.","KUV","Ur","Inc-Dec","DEC-INC","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Dec","DEC-INC","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_DEC-INC","4"
"189","KUV9","Dalits","SC","T1 in.","T3 as.","KUV","Colony","Inc-Dec","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Dec","Dec-Dec","Dec-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
