HHID_panel,rel_var1,rel_var2,rel_var3
SEM20,0,68.641975,71.447372
SEM25,27.027027,0,0
SEM26,0,0,92.344162
SEM28,0,11.764706,1.9920318
SEM29,38.46154,0,0
SEM30,0,46.245331,0
SEM31,14.563107,54.597702,0
SEM32,0,0,29.032257
SEM34,0,76.913727,0
SEM36,43.243244,0,10.628825
SEM37,100,0,0
SEM39,0,0,14.922907
SEM40,14.814815,0,14.285715
SEM42,0,15.007899,.65710878
SEM43,0,97.818993,30.82707
SEM44,0,0,46.954643
SEM45,0,17.713005,82.86042
SEM46,76.92308,0,0
SEM47,0,8.695652,0
SEM48,0,32.130779,34.403893
SEM5,62.5,0,54.651161
SEM6,28.571428,76.944893,29.604366
SEM7,0,33.321632,58.29969
SEM8,55.555557,0,0
