HHID_panel,rel_var1,rel_var2,rel_var3
MANAM36,100,0,10.878281
MANAM37,31.034483,17.445053,19.672131
MANAM38,0,2.2565322,38.798496
MANAM39,30.232557,42.568932,39.619049
MANAM4,20.38835,0,0
MANAM41,0,4.9222798,91.691391
MANAM42,52.380951,0,42.912777
MANAM43,64.285713,51.681953,18.158997
MANAM45,0,14.22122,40.340908
MANAM47,0,10.962671,1.3251534
MANAM48,25.263159,6.7755756,52.565502
MANAM49,40,83.318703,18.454937
MANAM5,21.276596,20.178041,55.532997
MANAM51,12.5,2.2316687,3.206651
MANAM8,0,3.4111309,29.12088
MANAM9,55.223881,17.258123,55.891243
NAT1,68.181816,31.688511,51.632046
NAT10,63.46154,19.676214,7.6785717
NAT11,5.8823528,4.0563622,99.999992
NAT12,0,27.859976,.37807184
NAT13,0,16.842106,100.00001
NAT14,0,100,62.790695
NAT15,100,5.2545156,56.14035
NAT16,0,52.461536,100
NAT17,16.666666,44.46397,38.90593
NAT18,25,100,49.913647
NAT19,13.793103,14.307229,9.7177572
NAT2,25.824173,0,100
NAT20,56.034481,15.472313,36.905476
NAT24,22.727272,13.04945,89.470284
NAT26,31.506849,68.400002,38.295456
NAT28,22.222221,0,61.543907
NAT29,5.9523811,0,31.158716
NAT32,61.290321,57.563591,22.671682
NAT33,20.512821,0,31.391428
NAT34,40,22.701151,100
NAT37,0,15.328468,13.013699
NAT38,100,0,8.050848
NAT39,0,0,3.5489557
NAT4,43.47826,30.428806,65.801888
NAT41,13.605442,0,3.4888697
NAT43,53.846153,28.455284,87.547882
NAT44,42.1875,0,20.104439
NAT45,0,0,42.115456
NAT46,6.25,82.34201,71.096344
NAT47,24.561403,0,12.151616
NAT48,6.6666665,9.8712444,0
NAT49,40,100,100
NAT50,0,100,20
NAT51,0,16.754478,17.201426
NAT6,23.809525,33.333336,79.672134
NAT7,0,0,49.755844
NAT9,0,0,37.091988
ORA1,0,12.840579,31.858404
ORA10,7.4074073,0,15.601659
ORA12,0,93.470787,62.528736
ORA14,1.7094017,9.0967131,18.876404
ORA15,.99009901,0,0
ORA17,25.925926,6.5682654,66.224617
ORA18,12.121212,0,38.758137
ORA2,100,0,45.27132
ORA21,29.411764,0,55.510204
ORA22,33.720932,5.121294,83.384613
ORA23,20.454546,0,20
ORA24,88.095238,0,65.550659
ORA25,6.7796612,100,21.588486
ORA26,14.285714,21.810699,100
ORA27,16.883118,20.025269,100
ORA28,22.222221,0,9.5939083
ORA29,65.156792,55.620609,75.50267
ORA30,9.6153851,10.466761,11.916194
ORA32,0,0,85.154823
ORA33,8.8235292,50.967743,41.051136
ORA35,80,4.747551,80.116959
ORA36,0,9.8591547,55.346649
ORA38,0,0,91.575668
ORA39,100,0,22.813156
ORA40,38.837917,17.282549,71.028038
ORA41,3.2608695,18.171364,13.148479
ORA43,17.127071,24.975319,90.855713
ORA44,1.3333334,7.4146342,4.1043682
ORA45,26.31579,24.901188,92.307686
ORA46,85.294121,32.982456,.73284477
ORA47,60.629921,0,19.791666
ORA48,100,9.9002848,0
ORA49,100,2.8571429,88.888893
ORA51,0,0,97.5
ORA52,0,0,21.866098
ORA8,0,6.8204117,32.779282
ORA9,.92165899,0,.37296039
SEM1,3.2258065,100,100.00001
SEM10,13.636364,0,37.488014
SEM12,100,100,98.701302
SEM13,8.8235292,100,3.206651
SEM15,0,30.038509,12.555261
SEM16,66.666664,0,0
SEM17,26.829268,0,9.3587523
SEM18,36.842106,64.928909,36.118828
SEM19,11.740891,23.795181,84.224594
SEM2,10.828026,0,26.343245
SEM20,52.941177,31.358025,28.552633
SEM22,0,57.14286,92.105263
SEM25,48.648647,100,51.505016
SEM26,28.571428,0,3.8617887
SEM27,0,67.684479,35.305717
SEM28,47.826088,0,.59760958
SEM29,10.256411,77.673325,41.279758
SEM30,6.8493152,0,5.0393701
SEM32,58.139534,42.857143,60.21505
SEM34,4.347826,23.086269,100
SEM35,100,29.510021,82.923004
SEM36,0,100,89.204231
SEM37,0,0,2.0883055
SEM39,15.625,23.393045,35.24229
SEM40,37.037037,0,38.095242
SEM41,40,0,99.999992
SEM42,10,60.031597,8.1242533
SEM43,0,2.1810064,21.978024
SEM44,100,5.811481,6.090713
SEM45,0,0,12.467756
SEM46,23.076923,49.737827,15.840621
SEM47,38.52459,20.652174,7.7703824
SEM48,38.356163,67.869225,41.800488
SEM49,21.052631,22.294916,100
SEM5,0,89.758064,45.125221
SEM51,0,37.438427,37.562813
SEM52,57.142857,8.1567116,75.322807
SEM6,0,19.732576,14.73397
SEM7,8.333333,0,28.838388
SEM8,27.777779,0,18.193981
SEM9,28.333334,7.0974054,12.138728
