loan1,loan2,loan3
.055973839,.39992973,.72107232
5.5545888,1.151602,.46252036
.11446974,-.60736966,-.092605747
.4946931,2.9099889,.42800778
-.47048926,-.42193767,-.56700754
.2022136,-.274528,.19285426
-.41199338,-.33653367,-.13062808
-.44124132,.87433153,.7333563
.40694925,-.60736966,.55786866
-.23650567,-.42193767,4.6818299
-.069792345,-.40380394,-.57344204
-.33302391,.24316072,.32914969
-.59333068,-.55530834,-.34764788
-.32424954,-.7226066,-.59216076
-.57578188,-.64422208,-.26750851
-.58748108,-.38450029,.071182773
-.16046099,-.56232786,-.49564251
-.11951386,-.57344204,-.49856731
-.33594871,-.29441661,2.6724956
-.36519665,.92931765,-.42076775
-.18970895,-.38508525,-.28681216
-.66645056,.24374568,-.73781556
-.25405443,-.31079546,-.41667306
-.23650567,-.26692355,.32447004
3.5364799,-.73664564,.25895461
1.1966439,1.0591786,.18817458
-.41784295,-.23709063,.27006885
-.63427782,-.32951415,-.76764846
-.58748108,-.16280083,-.14057238
.96266031,-.051658619,.18700466
1.6646111,2.6139996,.21917741
-.5289852,.033160441,.56196338
-.32424954,.25135016,1.2487053
-.48803803,-.011296446,-.19029391
-.07856673,-.5769518,2.723387
-.36519665,-.27335808,.40987405
-.45879009,.37009683,.08580675
-.6986233,-.066867553,.5157516
-.5055868,-.67347008,.13903803
-.58748108,.11856446,.43093258
-.17800976,.65146214,-.36344177
-.44124132,.87374657,4.2787929
-.6869241,-.066282593,.082296997
-.44124132,.40285453,-.58982092
