HHID_panel,time,panelvar,annualincome,dsr,loanamount,assets_noland,dar,isr,ihs_isr,ihs_dar,ihs_dsr,ihs_loanamount,ihs_annualincome,ihs_assets_noland,euc_annualincome,sbd_annualincome,euc_assets_noland,sbd_assets_noland,euc_loanamount,sbd_loanamount,euc_dsr,sbd_dsr,euc_isr,sbd_isr,euc_dar,sbd_dar,year
GOV20,3,GOV20,195.65218,.013375843,54.400002,158.91304,.3423256,0,0,6.5289116,3.287992,11.597266,12.877241,12.66926,3,Dec-Inc,1,Dec-Inc,4,Inc-Inc,2,Dec-Dec,1,5,4,Inc-Dec,2020
GOV22,1,GOV22,80,.34035611,60,394.5,.15209125,.12779441,5.5435853,5.7176385,6.5231419,11.695247,11.982929,13.578522,3,Dec-Inc,4,Dec-Dec,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2010
GOV22,2,GOV22,189.11392,.53964192,267,1244.3038,.21457782,.13202812,5.5761766,6.0618253,6.9840536,13.188151,12.843252,14.727234,3,Dec-Inc,4,Dec-Dec,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2016
GOV22,3,GOV22,218.36955,0,.001,75,0,0,0,0,0,.88137358,12.987091,11.91839,3,Dec-Inc,4,Dec-Dec,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2020
GOV3,1,GOV3,32,.53281248,45,235,.19148937,.22031251,6.0881991,5.9479861,6.9713178,11.407565,11.066638,13.060488,3,Inc-Dec,4,Inc-Inc,1,Inc-Dec,2,Dec-Dec,1,1,3,Inc-Dec,2010
GOV3,2,GOV3,199.3671,.028571429,151.89999,449.3671,.33803096,0,0,6.5162868,4.0458603,12.624125,12.89605,13.708742,3,Inc-Dec,4,Inc-Inc,1,Inc-Dec,2,Dec-Dec,1,1,3,Inc-Dec,2016
GOV3,3,GOV3,198.91304,.01304109,18.6,318.58698,.058382802,0,0,4.760242,3.2627192,10.524064,12.89377,13.364798,3,Inc-Dec,4,Inc-Inc,1,Inc-Dec,2,Dec-Dec,1,1,3,Inc-Dec,2020
GOV31,1,GOV31,64,.26015624,65,256.5,.25341129,.02578125,3.9431705,6.2281647,6.2544332,11.77529,11.759786,13.148031,3,Dec-Inc,2,DEC-INC,1,Inc-Dec,2,Dec-Dec,1,5,4,Inc-Dec,2010
GOV31,2,GOV31,55.696201,.40897977,98.400002,29.620253,3.3220513,.40897977,6.7068143,8.8014851,6.7068143,12.189943,11.620814,10.989361,3,Dec-Inc,2,DEC-INC,1,Inc-Dec,2,Dec-Dec,1,5,4,Inc-Dec,2016
GOV31,3,GOV31,195.65218,.041173156,27.200001,139.67392,.1947393,0,0,5.9648156,4.4110813,10.904119,12.877241,12.540213,3,Dec-Inc,2,DEC-INC,1,Inc-Dec,2,Dec-Dec,1,5,4,Inc-Dec,2020
GOV33,1,GOV33,42,.97540545,85,441.5,.19252548,.30176455,6.4027972,5.9533825,7.5760007,12.043553,11.338573,13.69108,3,Dec-Inc,2,DEC-INC,4,Inc-Inc,2,Dec-Dec,2,3,4,Inc-Dec,2010
GOV33,2,GOV33,110.75949,.085142858,66.400002,36.772152,1.8057144,.028000003,4.0256705,8.1918592,5.1375122,11.796599,12.308264,11.205644,3,Dec-Inc,2,DEC-INC,4,Inc-Inc,2,Dec-Dec,2,3,4,Inc-Dec,2016
GOV33,3,GOV33,163.04347,.055052795,108.7,382.06522,.28450638,.01572937,3.4496858,6.3439059,4.7015224,12.289495,12.69492,13.546494,3,Dec-Inc,2,DEC-INC,4,Inc-Inc,2,Dec-Dec,2,3,4,Inc-Dec,2020
GOV39,1,GOV39,84,.73637789,85,368.5,.23066486,.18979761,5.9391122,6.1341176,7.2948909,12.043553,12.031719,13.510344,2,Dec-Sta,1,Dec-Dec,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2010
GOV39,2,GOV39,3.7974684,3.2392585,16.5,104.62025,.15771325,2.655925,8.5776958,5.7539358,8.776247,10.404263,8.9352369,12.25124,2,Dec-Sta,1,Dec-Dec,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2016
GOV39,3,GOV39,6.521739,0,1.5,106.73913,.014052954,0,0,3.3372433,0,8.0063677,9.4760437,12.27129,2,Dec-Sta,1,Dec-Dec,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2020
GOV4,1,GOV4,65,.24292308,21.5,246.5,.087221101,.050615385,4.6175003,5.1616263,6.1858964,10.668956,11.77529,13.108265,3,Inc-Dec,2,DEC-INC,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2010
GOV4,2,GOV4,104.55696,.065375306,44.299999,45.696201,.969446,.065375306,4.8733501,7.5698724,4.8733501,11.391887,12.250634,11.422917,3,Inc-Dec,2,DEC-INC,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2016
GOV4,3,GOV4,108.69566,0,.001,460.32608,0,0,0,0,0,.88137358,12.289454,13.732838,3,Inc-Dec,2,DEC-INC,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2020
GOV41,1,GOV41,24,.89957571,45,244,.18442623,.28770146,6.3550735,5.9104042,7.4950705,11.407565,10.778956,13.098071,3,Dec-Inc,3,Dec-Inc,1,Inc-Dec,2,Dec-Dec,3,1,3,Inc-Dec,2010
GOV41,2,GOV41,64.050629,.49224225,167.60001,139.87341,1.1982263,0,0,7.781745,6.8921194,12.722483,11.760576,12.54164,3,Dec-Inc,3,Dec-Inc,1,Inc-Dec,2,Dec-Dec,3,1,3,Inc-Dec,2016
GOV41,3,GOV41,130.43478,.016666666,8.1000004,351.63043,.02303555,.0041666664,2.134362,3.8306568,3.5074565,9.6927662,12.471776,13.463483,3,Dec-Inc,3,Dec-Inc,1,Inc-Dec,2,Dec-Dec,3,1,3,Inc-Dec,2020
GOV50,1,GOV50,44.5,.74726653,60,337.5,.17777778,.32499564,6.4769611,5.8736897,7.3095694,11.695247,11.396392,13.422468,3,Dec-Inc,2,DEC-INC,4,Inc-Inc,2,Dec-Dec,2,3,4,Inc-Dec,2010
GOV50,2,GOV50,82.025322,.32893693,95.599998,42.721519,2.2377481,.19445871,5.9633737,8.4063721,6.4890156,12.161076,12.007931,11.355605,3,Dec-Inc,2,DEC-INC,4,Inc-Inc,2,Dec-Dec,2,3,4,Inc-Dec,2016
GOV50,3,GOV50,104.34782,.084516697,65.099998,200.59782,.32452995,.084516697,5.1301312,6.4755273,5.1301312,11.776827,12.248632,12.902205,3,Dec-Inc,2,DEC-INC,4,Inc-Inc,2,Dec-Dec,2,3,4,Inc-Dec,2020
GOV6,1,GOV6,54,.078306243,42,118.5,.35443038,.078306243,5.0538154,6.5636611,5.0538154,11.338573,11.589887,12.375815,1,Inc-Dec,3,Inc-Inc,1,Inc-Dec,5,Inc-Inc,3,1,3,Inc-Dec,2010
GOV6,2,GOV6,58.227848,.1967952,272.10001,383.79749,.70896769,0,0,7.2569575,5.975317,13.207072,11.665266,13.551018,1,Inc-Dec,3,Inc-Inc,1,Inc-Dec,5,Inc-Inc,3,1,3,Inc-Dec,2016
GOV6,3,GOV6,34.510868,.46444726,24.9,347.98914,.07155396,.071141414,4.9578662,4.9636478,6.8339963,10.81577,11.142177,13.453074,1,Inc-Dec,3,Inc-Inc,1,Inc-Dec,5,Inc-Inc,3,1,3,Inc-Dec,2020
KAR13,1,KAR13,34,.27672324,21.5,92,.23369566,.074470356,5.0035934,6.1471715,6.3161683,10.668956,11.127263,12.122691,4,Dec-Inc,1,Dec-Inc,4,Inc-Inc,2,Dec-Dec,2,4,4,Inc-Dec,2010
KAR13,2,KAR13,28.101267,.11928494,139.2,85.31646,1.6315726,.11928494,5.4746799,8.0904465,5.4746799,12.536814,10.936717,12.04727,4,Dec-Inc,1,Dec-Inc,4,Inc-Inc,2,Dec-Dec,2,4,4,Inc-Dec,2016
KAR13,3,KAR13,65.760872,.092278033,54.599998,193.20653,.28259915,.067348041,4.9030762,6.3371797,5.2179828,11.600936,11.786927,12.864662,4,Dec-Inc,1,Dec-Inc,4,Inc-Inc,2,Dec-Dec,2,4,4,Inc-Dec,2020
KAR14,1,KAR14,61,.1147541,15.5,192.5,.080519482,.032786883,4.1834083,5.0816851,5.4359579,10.341743,11.711777,12.860998,1,Inc-Dec,4,Inc-Inc,4,Inc-Inc,2,Dec-Dec,2,4,3,Inc-Dec,2010
KAR14,2,KAR14,405.06329,.14964877,310.10001,576.58228,.53782439,.11176264,5.4095445,6.98068,5.7014494,13.337797,13.604946,13.95802,1,Inc-Dec,4,Inc-Inc,4,Inc-Inc,2,Dec-Dec,2,4,3,Inc-Dec,2016
KAR14,3,KAR14,54.347828,.083242133,35.099998,473.42389,.074140742,.073242135,4.9869647,4.9991579,5.1149368,11.159103,11.596307,13.760894,1,Inc-Dec,4,Inc-Inc,4,Inc-Inc,2,Dec-Dec,2,4,3,Inc-Dec,2020
KAR50,1,KAR50,20,.71437663,28,183,.15300547,.125,5.5214767,5.7236314,7.2645578,10.933107,10.596635,12.810389,4,Inc-Dec,2,DEC-INC,4,Inc-Inc,2,Inc-Inc,1,5,4,Inc-Dec,2010
KAR50,2,KAR50,52.531647,.044915661,235.8,31.582279,7.4662123,.0042891568,2.1625576,9.61129,4.4980578,13.063887,11.562318,11.053498,4,Inc-Dec,2,DEC-INC,4,Inc-Inc,2,Inc-Inc,1,5,4,Inc-Dec,2016
KAR50,3,KAR50,30.434782,.57635635,97.199997,120.65218,.80562156,0,0,7.3847618,7.0498738,12.177673,11.016488,12.393814,4,Inc-Dec,2,DEC-INC,4,Inc-Inc,2,Inc-Inc,1,5,4,Inc-Dec,2020
KOR1,1,KOR1,75,.097799994,105,179,.5865922,.097799994,5.2760978,7.0674777,5.2760978,12.254863,11.91839,12.788288,4,Dec-Inc,3,Dec-Inc,3,Inc-Inc,4,Inc-Inc,2,4,4,Inc-Dec,2010
KOR1,2,KOR1,28.101267,1.555361,242.5,134.49367,1.803059,.54702646,6.9976449,8.1903868,8.0426102,13.091905,10.936717,12.502419,4,Dec-Inc,3,Dec-Inc,3,Inc-Inc,4,Inc-Inc,2,4,4,Inc-Dec,2016
KOR1,3,KOR1,104.47174,.45130444,195.89999,583.58698,.3356826,.14424886,5.6646991,6.5093155,6.8052907,12.878507,12.249819,13.970096,4,Dec-Inc,3,Dec-Inc,3,Inc-Inc,4,Inc-Inc,2,4,4,Inc-Dec,2020
KOR17,1,KOR17,46,.25233707,67,71,.94366193,.21195652,6.0495338,7.5429153,6.223917,11.805595,11.429543,11.863583,4,Dec-Inc,3,Inc-Inc,3,Inc-Dec,2,Dec-Dec,2,3,4,Inc-Dec,2010
KOR17,2,KOR17,34.873417,3.7064652,819.5,200.50632,4.087153,1.8428931,8.2122393,9.0087509,8.9109812,14.309597,11.152627,12.901749,4,Dec-Inc,3,Inc-Inc,3,Inc-Dec,2,Dec-Dec,2,3,4,Inc-Dec,2016
KOR17,3,KOR17,50.489132,.084477447,31.5,305.86957,.10298508,.084477447,5.1296668,5.327755,5.1296668,11.05089,11.52266,13.324061,4,Dec-Inc,3,Inc-Inc,3,Inc-Dec,2,Dec-Dec,2,3,4,Inc-Dec,2020
KOR2,1,KOR2,50,.35475877,104,212,.49056607,.11903355,5.4725704,6.8887081,6.5645871,12.245294,11.512925,12.957489,1,Inc-Dec,2,DEC-INC,1,Inc-Dec,2,Dec-Dec,3,3,4,Inc-Dec,2010
KOR2,2,KOR2,104.43038,.32624635,63.299999,27.436708,2.307128,.0079287505,2.767596,8.4369059,6.4808021,11.748788,12.249423,10.912785,1,Inc-Dec,2,DEC-INC,1,Inc-Dec,2,Dec-Dec,3,3,4,Inc-Dec,2016
KOR2,3,KOR2,67.934784,.013453565,11.3,125.27174,.090203911,.013453565,3.2937696,5.1952505,3.2937696,10.025705,11.81945,12.431388,1,Inc-Dec,2,DEC-INC,1,Inc-Dec,2,Dec-Dec,3,3,4,Inc-Dec,2020
KOR20,1,KOR20,95,.094736844,148,431,.34338748,.094736844,5.244278,6.5320086,5.244278,12.598115,12.154779,13.66701,4,Sta-Dec,3,Dec-Dec,3,Inc-Dec,2,Inc-Inc,2,4,4,Inc-Dec,2010
KOR20,2,KOR20,37.341774,.17464399,221.5,249.17722,.88892555,.17464399,5.8559051,7.483161,5.8559051,13.001325,11.221015,13.119067,4,Sta-Dec,3,Dec-Dec,3,Inc-Dec,2,Inc-Inc,2,4,4,Inc-Dec,2016
KOR20,3,KOR20,26.826088,.17448153,48.900002,239.67392,.20402722,.17448153,5.8549743,6.0114064,5.8549743,11.49068,10.890277,13.080182,4,Sta-Dec,3,Dec-Dec,3,Inc-Dec,2,Inc-Inc,2,4,4,Inc-Dec,2020
KOR22,1,KOR22,67,.62962914,91.5,266.5,.34333956,.12281285,5.5038252,6.5318694,7.138279,12.117242,11.805595,13.186276,1,Inc-Dec,2,DEC-INC,1,Inc-Dec,2,Dec-Dec,3,1,4,Inc-Dec,2010
KOR22,2,KOR22,123.41772,.061103202,41.099998,.63291138,64.937996,0,0,11.774335,4.8057785,11.316911,12.416477,7.1434784,1,Inc-Dec,2,DEC-INC,1,Inc-Dec,2,Dec-Dec,3,1,4,Inc-Dec,2016
KOR22,3,KOR22,58.260868,.086727336,39.599998,306.68478,.12912281,.086727336,5.1559496,5.553926,5.1559496,11.279732,11.665833,13.326723,1,Inc-Dec,2,DEC-INC,1,Inc-Dec,2,Dec-Dec,3,1,4,Inc-Dec,2020
KOR25,1,KOR25,59,.15254237,13.5,158,.085443042,0,0,5.1410313,5.7206001,10.203592,11.67844,12.663498,2,Sta-Dec,3,Dec-Inc,1,Inc-Inc,2,Inc-Inc,2,4,3,Inc-Dec,2010
KOR25,2,KOR25,38.607594,.18737707,36.099998,70.569618,.51155156,.018524591,3.6129739,6.9305964,5.9262772,11.187196,11.254352,11.857502,2,Sta-Dec,3,Dec-Inc,1,Inc-Inc,2,Inc-Inc,2,4,3,Inc-Dec,2016
KOR25,3,KOR25,11.608696,.36538088,24.5,512.44568,.047809947,.36538088,6.5940895,4.5604901,6.5940895,10.799576,10.052657,13.840097,2,Sta-Dec,3,Dec-Inc,1,Inc-Inc,2,Inc-Inc,2,4,3,Inc-Dec,2020
KOR30,1,KOR30,217.60001,.33313414,135,231,.58441556,.15850185,5.7589235,7.0637603,6.5016947,12.506177,12.983561,13.04332,3,Inc-Dec,1,Dec-Inc,3,Inc-Inc,2,Inc-Inc,3,2,4,Inc-Dec,2010
KOR30,2,KOR30,276.89874,.1310799,189.8,68.670883,2.7639077,.0059611429,2.4853716,8.617548,5.5689688,12.846873,13.224554,11.830228,3,Inc-Dec,1,Dec-Inc,3,Inc-Inc,2,Inc-Inc,3,2,4,Inc-Dec,2016
KOR30,3,KOR30,194.15218,.24765736,135.89999,306.57608,.44328308,.14754872,5.6873169,6.7873569,6.2051973,12.512822,12.869545,13.326368,3,Inc-Dec,1,Dec-Inc,3,Inc-Inc,2,Inc-Inc,3,2,4,Inc-Dec,2020
KOR32,1,KOR32,83,.011168675,46,195,.23589745,.011168675,3.1082582,6.156549,3.1082582,11.429543,12.019743,12.873902,4,Dec-Inc,1,Dec-Inc,1,Inc-Dec,5,INC-INC,2,4,3,Inc-Dec,2010
KOR32,2,KOR32,33.037975,.32376552,36.700001,92.658226,.39607924,.053183552,4.6669846,6.6747632,6.4731688,11.203679,11.09856,12.12982,4,Dec-Inc,1,Dec-Inc,1,Inc-Dec,5,INC-INC,2,4,3,Inc-Dec,2016
KOR32,3,KOR32,41.41304,.052493442,10,147.39131,.067846604,.052493442,4.6539264,4.9104509,4.6539264,9.9034872,11.324498,12.593993,4,Dec-Inc,1,Dec-Inc,1,Inc-Dec,5,INC-INC,2,4,3,Inc-Dec,2020
KOR36,1,KOR36,48,.28626055,32,184.5,.17344174,0,0,5.8489971,6.3500528,11.066638,11.472103,12.818552,2,Sta-Dec,1,Dec-Inc,1,Inc-Inc,2,Dec-Dec,2,4,3,Inc-Dec,2010
KOR36,2,KOR36,40.379745,.6732282,69.699997,102.37342,.68084073,.29170761,6.3689022,7.216476,7.2052321,11.845102,11.299231,12.229529,2,Sta-Dec,1,Dec-Inc,1,Inc-Inc,2,Dec-Dec,2,4,3,Inc-Dec,2016
KOR36,3,KOR36,11.52174,.09101487,41.5,231.90218,.17895478,.09101487,5.2042003,5.8802881,5.2042003,11.326596,10.045138,13.047218,2,Sta-Dec,1,Dec-Inc,1,Inc-Inc,2,Dec-Dec,2,4,3,Inc-Dec,2020
KOR37,1,KOR37,83,.087349392,80,599,.13355593,.087349392,5.163096,5.5876818,5.163096,11.982929,12.019743,13.996164,3,Inc-Dec,4,Dec-Dec,3,Inc-Dec,2,Dec-Dec,2,3,4,Inc-Dec,2010
KOR37,2,KOR37,108.35443,3.7150598,936.70001,346.3924,2.704159,.32497251,6.4768901,8.5956936,8.9132977,14.443266,12.28631,13.448475,3,Inc-Dec,4,Dec-Dec,3,Inc-Dec,2,Dec-Dec,2,3,4,Inc-Dec,2016
KOR37,3,KOR37,88.097832,.040963378,103.8,270.21741,.38413516,.040963378,4.4059744,6.6441436,4.4059744,12.243368,12.07935,13.20013,3,Inc-Dec,4,Dec-Dec,3,Inc-Dec,2,Dec-Dec,2,3,4,Inc-Dec,2020
KOR4,1,KOR4,48,.51950556,80,187,.42780745,.23822902,6.1663842,6.751822,6.9460254,11.982929,11.472103,12.832011,1,Inc-Dec,2,Dec-Inc,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2010
KOR4,2,KOR4,187.46837,.052852713,34.799999,62.151897,.55991852,.022545397,3.8091695,7.0209394,4.6607456,11.150519,12.834513,11.730484,1,Inc-Dec,2,Dec-Inc,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2016
KOR4,3,KOR4,53.456524,0,13.6,552.93481,.024596028,0,0,3.8961451,0,10.210972,11.579771,13.916142,1,Inc-Dec,2,Dec-Inc,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2020
