HHID_panel,year,dsr_std,dar_std,tdr_std,rfm_std,dailyincome_pc_std,assets_pc_std,lpc_std
GOV35,2016,-.39946821,.37004232,-.45677617,.0040014405,.014803646,-.48368192,.4793216
GOV35,2020,-.49019253,-.54043514,3.036232,.57873613,.80846471,-.51300514,.86380631
GOV36,2010,.845321,-.29516697,-.45677617,.12568347,-.3676089,.2738995,-.77604121
GOV37,2010,.1139827,-.22500545,2.4011426,-.56663519,-.74775553,-.14015776,-.36258796
GOV37,2016,-.52284515,-.42581677,-.45677617,-.16503665,.60081822,-.39137354,-.66918653
GOV37,2020,-.62101424,-1.1539767,6.2117009,.27135277,2.1953247,-.58025038,-1.615696
GOV38,2010,1.1459184,-.38660508,-.45677617,-.4642334,-.80339479,1.4999982,-.18164273
GOV38,2016,1.8462977,.26288414,-.45677617,-2.2126267,-1.0488459,-.40028331,3.589021
GOV38,2020,-.59139001,.97081,-.073538989,.017433619,1.2156574,-.59002739,.17740397
GOV39,2010,.15686585,-.52326584,-.45677617,.21661979,-.17376697,-.41551229,-.66918653
GOV39,2016,3.9144945,.37112227,-.45677617,-4.2751622,-1.1470072,-.57596952,-.44125602
GOV39,2020,-.62101424,-1.0904009,-.45677617,.56667149,-1.0399452,-.53421861,.8467201
GOV4,2010,-.48532248,-1.0596641,-.45677617,.14213531,-.48151711,-.095391467,-.49615625
GOV4,2016,-.52949512,-.29353133,-.45677617,-.11757874,.082743488,-.67056406,-1.2823837
GOV4,2020,-.62101424,-1.1765707,-.45677617,.7520591,.92259455,-.21714161,-1.8955808
GOV40,2010,-.17981605,-.85665381,.63195479,.7588926,-.73364055,-.40676373,.50393254
GOV40,2016,-.2169183,-.64250851,-.45677617,-.28636414,.11472797,-.33758581,-.31231266
GOV40,2020,-.54285622,-.77956206,-.45677617,-.22344024,.11250595,-.55687982,-.18164273
GOV41,2010,.084816173,-.74055713,2.5069914,-.51126987,-.8870998,-.49112591,-.86721796
GOV41,2016,.06810873,.81813419,-.45677617,-.34330702,-.19011958,-.56399411,.083504468
GOV41,2020,-.59768009,-1.0927581,-.45677617,.4674179,1.3514935,-.32441717,-.92603105
GOV42,2010,-.5957343,-.80972719,-.45677617,.28591576,.77147257,4.3739672,-.21627142
GOV42,2016,.095436879,.032327954,-.45677617,-.065849528,.64188337,3.0266671,-.66918653
GOV42,2020,-.61790842,-.26932967,-.43817076,.89830178,.1746964,2.9818118,.90326828
GOV43,2016,-.5308162,-.58206308,-.45677617,.54170489,2.2040057,-.25020319,-1.2823837
GOV43,2020,-.62101424,.54617524,-.45677617,-.0039804978,1.2723224,-.58634824,-.66918653
GOV44,2010,-.43179962,-.49122837,-.45677617,-.17981158,-.31511524,-.54677844,.50393254
GOV44,2016,-.40420711,-.22798263,-.45677617,.038053703,2.4959507,.070706569,1.1831533
GOV44,2020,-.54157829,-.94141364,-.45677617,.26841068,-.46598539,-.53095549,.52829367
GOV45,2010,-.02601671,-.60477811,-.45677617,-.1927601,-.77549309,.58438146,-.18164273
