"","HHID_panel","index2010","index2016","index2020","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6"
"114","KAR6",0.17664011,0.35645011,0.1375325,3,1,3,2,2,2
"115","KAR7",0.080074415,0.11455516,0.07526242,1,2,1,3,3,3
"116","KAR8",0.10961358,0,0.34676284,2,3,2,1,1,1
"117","KAR9",0.2611649,0.10183872,0.10024681,1,2,1,3,3,3
"118","KOR1",0.027200002,0.18606128,0.27894646,2,1,2,1,1,1
"119","KOR10",0.0027480915,0.0079264278,0.13515162,1,2,1,3,3,3
"120","KOR11",0.049928572,0.3612563,0.080195077,3,1,3,2,2,2
"121","KOR14",0.092415847,0.061570786,0.31012771,2,3,2,1,1,1
"122","KOR15",0.13333334,0.09306477,0.03533512,1,2,1,3,3,3
"123","KOR16",0.22059146,0.094595872,0.12123542,1,2,1,3,3,3
"124","KOR17",0.084782608,0.46399334,0.067549556,3,1,3,2,2,2
"125","KOR19",0.26351053,0.10715202,0.16799621,2,1,3,2,3,2
"126","KOR2",0.071951129,0.0031715024,0.0053816149,1,2,1,3,3,3
"127","KOR20",0.037894737,0.18895498,0.16380656,3,1,3,2,2,2
"128","KOR22",0.083942711,0,0.11016779,1,2,1,3,3,3
"129","KOR23",0.075723663,0.099643663,0.11388776,1,2,1,3,3,3
"130","KOR24",0.15202498,0.014250539,0,1,2,1,3,3,3
"131","KOR25",0.0067808377,0.081932798,0.16177744,1,1,1,3,3,3
"132","KOR26",0.0019793813,0.34983617,0.38165146,3,1,3,2,1,2
"133","KOR27",0.093737319,0,0.0041399859,1,2,1,3,3,3
"134","KOR29",0.029010991,0.1040258,0.10433413,1,2,1,3,3,3
"135","KOR3",0.023272727,0.08768931,0.10101054,1,2,1,3,3,3
"136","KOR30",0.060661763,0.0023849851,0.27720064,2,3,2,1,1,1
"137","KOR32",0.0022457831,0.09242405,0.063926011,1,2,1,3,3,3
"138","KOR33",0.017655173,0.033577491,0,1,2,1,3,3,3
"139","KOR34",0.028066348,0.32569599,0.16235517,3,1,3,2,2,2
"140","KOR35",0.1792718,0.50558519,0.16772689,3,1,3,2,2,2
"141","KOR36",0,0.15920012,0.19089331,2,1,3,2,2,2
"142","KOR37",0.034939758,0.043295123,0.016386297,1,2,1,3,3,3
"143","KOR38",0.0017977528,0.09958601,0.14710701,1,1,1,3,3,3
"144","KOR39",0.12194847,0.57000941,0.2199944,3,1,3,2,2,2
"145","KOR4",0.095879495,0.0043612779,0.46799207,2,3,2,1,1,1
"146","KOR40",0.056521736,0.0033486895,0.14326254,1,2,1,3,3,3
"147","KOR41",0,0.5325315,0.11218736,3,1,3,2,2,2
"148","KOR42",0.17608853,0.19695386,0.27422574,2,1,3,2,1,2
"149","KOR44",0.035635456,0.71789634,0.38235846,3,1,3,2,2,2
"150","KOR45",0.097071595,0.033782743,0.11210036,1,2,1,3,3,3
"151","KOR5",0.14333333,0.079050317,0.50730199,2,3,2,1,1,1
"152","KOR9",0.083360173,0.021936845,0.11003806,1,2,1,3,3,3
"153","KUV1",0.017142858,0.024907362,0.2184885,2,2,2,1,1,1
"154","KUV12",0.15603665,0.0095593166,0.1406384,1,2,1,3,3,3
"155","KUV13",0.031505454,0.074363217,0.19601609,2,1,2,1,1,1
