HHID_panel,pca2index2010,m2index2010,pca2index2016,m2index2016,pca2index2020,m2index2020
ELA1,26.463369,9.5097971,24.920734,4.9989533,22.991163,2.548563
ELA10,29.012392,10.759144,33.486481,24.135393,37.334839,22.432262
ELA11,28.678171,1.5670429,26.951248,18.423088,81.317345,206.19415
ELA12,21.98951,-3.6129923,41.066669,61.823448,37.734623,52.088913
ELA13,36.490276,39.258926,24.317404,10.779564,23.072039,-2.4288261
ELA14,27.158886,5.8632016,20.514648,3.7400045,25.170885,9.2051802
ELA15,25.480364,6.6568971,29.072399,19.257116,42.494347,47.117378
ELA16,37.836403,37.996792,25.738594,18.47406,27.82793,-13.039186
ELA17,22.280304,2.1927271,23.5186,.46601364,31.295984,24.571497
ELA19,20.108292,1.1028209,28.104366,21.076469,25.163338,-1.7498782
ELA2,22.741924,2.0628262,31.159132,21.984518,30.113199,7.7840853
ELA20,27.633957,-2.6532133,35.62925,43.523056,70.283012,159.02377
ELA21,28.383001,7.0681276,31.106909,27.84038,32.060608,14.142034
ELA22,28.448748,12.498013,24.921829,14.814808,55.234543,71.646759
ELA23,26.877417,10.46831,36.078419,50.6353,28.135403,7.9167333
ELA24,31.462122,14.720199,20.779093,-3.8239181,55.089836,67.582298
ELA26,27.279442,11.874083,43.748692,45.126434,59.887573,128.12306
ELA27,18.258017,-2.7895074,24.292435,3.8638318,33.186928,6.2364593
ELA30,24.092306,.64610368,45.767799,92.815598,33.858376,6.49927
ELA31,29.12587,20.107132,24.260963,13.729418,37.73962,52.894024
ELA33,25.907454,.82394326,32.485451,31.29767,38.186565,30.437954
ELA35,21.227629,-4.0180998,51.06321,13.449834,32.040207,1.6613612
ELA36,24.431694,-3.9838591,28.863373,24.354544,22.390068,-5.9857197
ELA37,20.619362,-6.1431885,23.725481,17.28124,32.022823,21.338125
ELA38,30.655621,28.461597,23.419579,10.501558,27.591043,1.9417508
ELA39,23.641466,-2.7603281,28.575628,23.671959,62.430935,101.67699
ELA4,22.756104,-2.6844039,24.253511,1.1377686,28.156208,16.001804
ELA40,26.702515,3.1040266,38.85936,11.056161,28.650465,4.5192432
ELA41,44.14222,56.375347,26.900774,-28.054977,35.957874,4.0506768
ELA42,34.110622,30.308638,32.112923,19.29051,40.533375,49.384239
ELA43,34.172729,30.975817,35.290974,24.82996,28.227785,15.214558
ELA44,29.514732,7.4703774,18.226221,2.0519843,29.674284,13.233083
ELA45,20.932089,-1.1177704,25.062246,5.9820628,40.120716,38.610512
ELA49,25.53112,4.2723155,25.991016,21.240166,20.378935,-2.7359848
ELA5,27.449368,12.037663,38.991497,58.230804,17.248283,-29.218859
ELA50,22.696033,-.24653664,26.214314,13.063375,27.244562,-8.5637503
ELA52,26.365765,1.3787471,23.728867,9.0637703,19.262026,-20.756969
ELA6,28.717039,20.609739,29.803688,29.808624,57.257339,115.24672
ELA7,31.982677,36.930534,22.862757,-4.8203473,31.405138,-.18726815
ELA8,29.666563,21.207024,51.027905,95.786896,63.312492,117.19396
ELA9,27.82198,13.953801,33.498814,35.845558,18.422081,-9.6895437
GOV11,28.55954,13.407248,39.578876,32.320793,31.715618,15.97086
GOV13,34.633717,24.99803,23.904276,-2.0995357,26.501764,11.624799
GOV14,35.392139,37.907135,42.154705,19.034735,36.83202,4.8469481
GOV17,32.129456,25.120176,27.671089,13.883063,23.935791,-3.8781202
GOV18,27.489334,12.43376,27.82653,3.3180351,24.882801,-17.453102
GOV19,24.703218,-2.1132748,31.353756,28.716759,29.228699,8.4724102
GOV2,35.881386,17.249554,24.0665,.29702839,17.851334,-12.414017
GOV20,23.36252,-4.7627206,38.516266,52.76123,20.132662,-2.1840048
GOV21,22.904623,-7.8783283,25.138556,1.5385635,21.735369,6.6982093
GOV22,22.755129,-6.0391116,31.103004,31.121914,14.583906,-3.6684983
GOV23,25.458063,6.9719849,22.579111,-7.9248276,23.067705,-4.3225241
GOV25,32.138302,15.489036,28.755358,13.602466,31.670815,34.040848
GOV26,21.869089,-4.2528934,61.685654,132.14758,23.984264,-25.589603
GOV28,24.222893,.98917049,34.555576,8.2614517,27.486237,2.0923729
GOV29,27.140238,3.3442483,13.048564,-10.441954,16.452564,-10.729615
GOV3,33.14595,41.043449,23.042128,.35735348,33.322342,-7.2304111
GOV31,28.235456,7.1940508,34.708454,24.628592,16.704679,-3.2352211
GOV32,25.252228,2.8304937,12.249713,-27.322254,27.016361,21.380365
GOV33,24.835215,8.3760777,26.369278,10.952165,17.794619,-1.6363657
GOV34,35.341503,38.765572,21.358721,-1.2750369,24.190313,-5.9185343
GOV35,36.415428,40.737968,30.263723,9.6297703,42.095375,52.565834
GOV37,39.080772,58.398716,23.007502,4.2982159,41.038418,77.483772
GOV38,32.251396,23.585293,58.772285,81.858322,30.658077,17.632011
GOV39,24.395794,4.7486749,51.383408,99.547165,27.162313,-11.554991
GOV4,22.066608,-3.2934387,20.093708,4.1780519,13.003788,-10.63949
GOV40,31.227776,9.7995491,25.751411,7.2545419,24.804531,2.7046278
GOV41,35.766991,52.194672,31.674723,21.308971,18.708925,-8.0763664
GOV42,23.192247,-4.5257058,25.897793,11.263066,28.321613,-9.7486219
GOV44,29.047998,5.5210733,32.501469,5.0484977,26.859173,-5.1309571
GOV45,26.943937,8.1229858,24.173765,-.22507139,25.060396,5.2968802
GOV46,24.715227,5.8874249,17.258724,-4.36203,18.11167,-2.2899904
GOV48,24.877396,2.7846596,21.845139,5.9811258,47.476326,57.979191
GOV50,37.105537,52.36248,29.785151,19.856722,31.247839,11.999128
GOV51,26.104128,1.463078,26.401157,3.2845962,36.345432,47.14167
GOV52,39.506058,62.516308,30.071337,12.734004,23.717384,-2.7825861
GOV6,26.093857,8.0589228,33.187164,32.574299,26.949823,-34.837315
GOV7,23.244556,-5.9142914,39.03883,21.238861,36.227852,40.818977
KAR10,27.336121,13.481039,36.928013,24.782417,39.332031,36.69656
KAR11,21.288643,-3.4413631,32.459484,15.529456,33.232944,-4.8827772
KAR12,26.534262,12.693692,36.366997,27.095264,24.206272,-32.887291
KAR13,23.466047,5.0767932,28.279543,29.542143,29.586456,13.578442
KAR14,19.725256,5.6995015,20.130188,-8.6283531,27.500345,10.458717
KAR15,18.538361,-5.429728,19.57649,1.6009898,41.124443,20.414232
KAR17,20.871805,-2.9302871,24.065039,5.8101683,39.820393,19.959814
KAR18,27.109974,13.977186,23.875036,4.0424967,41.907253,39.257233
KAR19,39.049519,46.355473,23.622599,-3.290993,55.185745,74.600845
KAR2,21.326416,-8.0340919,21.89193,.076979391,44.847672,46.063782
KAR20,36.691391,47.545479,16.716774,-9.6192131,39.539658,59.609516
KAR21,19.866056,-4.7132201,45.280617,57.305645,30.698559,-1.8532318
KAR23,30.080273,26.452053,35.543091,36.257816,39.616997,29.256001
KAR25,28.186907,-4.0880327,40.902367,52.194881,30.707823,12.972549
KAR26,22.850697,1.5102643,16.967279,-18.628399,32.510578,12.312495
KAR27,29.361467,18.400023,34.555305,37.43465,18.840754,-3.8839636
KAR28,20.86183,-4.3744965,21.979975,1.6184881,29.089823,18.953779
KAR29,22.331171,-6.5148907,12.116329,-14.554686,21.568485,.058172889
KAR3,20.281736,-.85908335,15.034304,-1.6814814,28.38727,.5601334
