HHID_panel,year,assets_total_std,dsr_std,isr_std,dar_std,dir_std,tdr_std,afm_std,rfm_std,dailyincome4_pc_std,incpercpl_std
ORA13,2016,-.67171848,-.43843326,-.13640116,.83262044,-.15182087,1.2103431,-1.1597695,-1.5732433,-.62254012,-.63749111
ORA13,2020,-.55847514,4.7410011,3.5740311,.20980506,2.4427578,-.45677617,-.82855135,-2.1326873,-.9732337,-1.0011978
ORA14,2010,.43413371,5.3989658,4.0151978,-.2849507,1.3599205,-.45677617,-2.5266976,-3.3107462,-.60808438,-.62249899
ORA14,2016,1.1108127,2.9237344,-.52620041,-.23544584,2.059319,.14944902,-.12846018,.26765025,-.56226802,-.57498246
ORA14,2020,-.38379589,2.6021047,2.6602955,-.37744761,.58604532,-.45677617,-1.2017263,-2.8849304,-1.0374358,-1.0677822
ORA15,2010,-.57101989,1.0697501,.91051942,3.7385428,.35290906,-.45677617,-.73917413,-.3588447,.59168804,.62179291
ORA15,2016,-.29987669,1.3172754,-.52620041,1.2308083,1.130482,-.45677617,-.56610167,-.26147807,-.12890999,-.12554404
ORA15,2020,-.57345825,1.4752837,.43319133,4.2271314,1.8766779,-.45677617,-1.279479,-1.1478461,-.59839964,-.61245489
ORA16,2016,-.47647721,-.35962611,-.36983883,.091207109,.10541706,-.45677617,-.45183483,-.091438465,-.59643614,-.61041844
ORA16,2020,-.57508671,-.45706004,-.52620041,-.66574937,-.54904962,-.45677617,-.19062433,3.1129787,-1.1180434,-1.1513809
ORA17,2010,-.53976935,-.32372019,-.52620041,-.40750018,-.4663173,-.45677617,-.19941841,.11471633,-.3734166,-.37912345
ORA17,2016,-.61785543,-.52165323,-.47326013,1.0505137,-.047828171,-.45677617,-.22850439,.13359728,-.53803974,-.54985517
ORA17,2020,-.47197285,1.9282132,1.0133823,.37241924,.71409255,.26609135,-.086566806,.64292735,-.79514182,-.81649745
ORA18,2010,.58225256,-.52521586,-.30198374,-.64746398,-.51167983,-.45677617,-.20188273,.019893521,-.20813897,-.20771296
ORA18,2016,.58491355,-.43220192,-.34200218,-.58707571,-.47125727,-.45677617,.35272226,.090951636,.50502861,.53191781
ORA18,2020,-.21214151,-.45320353,-.13907161,-.23142822,-.44063178,.57709801,3.2094002,.70449716,1.1228671,1.1726823
ORA19,2016,-.54345435,-.4233166,-.18151048,-.045106385,-.20119692,1.014184,-.47276041,-.12799034,-.56405568,-.57683647
ORA19,2020,-.63208765,-.41626656,-.49296653,.0060089673,-.4968549,1.896736,-.13029785,.015165259,.11539702,.12782846
ORA2,2010,-.32743707,.051841546,-.42254874,-.577654,-.4472467,.18856035,-.34101099,.068535902,-.43257821,-.44048038
ORA2,2016,-.67198902,-.26718599,-.2021345,-.42103386,-.52179241,-.45677617,-.44939867,.053366978,-.65377188,-.66988176
ORA2,2020,-.53302264,2.4951212,2.7258208,.21899238,.54293835,.73654008,-1.341094,-2.1478269,-.77542704,-.79605114
ORA20,2016,-.54155791,-.50822282,-.40970024,-.14892748,-.34822017,-.45677617,-.90024185,-.58420134,-.24095406,-.24174568
ORA20,2020,-.56927067,-.35917005,-.30823722,1.6744448,.65883136,-.45677617,-.4768723,-.13438986,-.36656335,-.37201586
ORA21,2010,.44483593,-.42986012,-.078800812,-.58552676,-.33477813,-.45677617,-.36987871,-.086175717,-.13375582,-.13056973
ORA21,2016,-.44954526,-.19496787,-.24780273,-.010126961,-.42247295,-.45677617,.70616859,.19020371,2.5241721,2.6259847
ORA21,2020,-.59318721,-.62101328,-.52620041,-.42886755,-.51787007,-.45677617,-.25197172,.048236806,-.47568688,-.48518866
ORA22,2010,.49149767,-.46656281,-.16470456,-.58810937,-.31887844,-.45677617,-.56117302,-.25383186,-.29230958,-.29500684
ORA22,2016,-.32128116,.16978061,1.0362175,-.075201467,.068346135,-.45677617,-.08327166,.23245762,-.12690909,-.12346894
ORA22,2020,.24502955,-.62101328,-.52620041,-.63647157,-.50979245,-.45677617,1.230547,1.1739028,.16608216,.18039425
ORA23,2010,2.1293671,-.42269817,-.062038109,-.64026338,-.27730879,-.45677617,-.56258827,-.2522597,-.39213365,-.39853504
ORA23,2016,4.4175043,-.62101328,-.52620041,-.67926455,-.60090578,-.45677617,8.0039883,.21269056,4.8885469,4.2470961
ORA23,2020,4.4175043,.13854763,-.20083562,-.41686574,.62735295,-.45677617,-.31127021,-.22056407,1.6552376,1.7248071
ORA24,2010,-.55774909,.018835407,-.24994232,-.34303713,-.41501784,-.45677617,-.36767489,-.0027508268,-.53563076,-.54735684
ORA24,2016,-.66873807,-.20012525,-.52620041,-.14629503,-.43015385,-.45677617,-.90340322,-1.0076466,-.80692577,-.82871872
ORA24,2020,-.38779768,-.46162671,-.52232099,-.23538862,-.44150314,-.45677617,.13117316,.0069754361,1.1936947,1.246138
ORA25,2010,2.3797994,-.1463002,-.25937077,-.63092583,-.44425577,-.45677617,.49261796,.12751557,.70796824,.74238789
ORA25,2016,-.56198633,3.29915,-.52620041,-.28886095,1.2425053,-.012145465,-.53064364,.35005817,-1.1336266,-1.1675422
ORA25,2020,.38294879,.43774554,.061650071,-.60064048,-.26404274,2.1142089,.37595019,1.0719663,-.60887671,-.6233207
ORA26,2010,-.49225146,-.53239655,-.5105139,-.48027515,-.55710524,-.45677617,.75279349,.21194756,.63264871,.66427362
ORA26,2016,-.3894501,-.52807879,-.52620041,-.39382038,-.49872985,-.45677617,.29842278,.076022476,.29479274,.31388092
ORA26,2020,-.65218902,1.0118148,1.9794879,.61445886,.70687288,2.2430034,-1.4915229,-5.1248674,-1.0782946,-1.1101571
ORA27,2010,-.50338179,.1302036,-.24647957,-.21743935,-.37186307,-.45677617,-.45824206,-.16974972,-.19872446,-.19794908
ORA27,2016,-.22417511,.08401034,.84163094,-.26524323,-.23892856,-.45677617,.10484722,.16704975,-.0035371999,.0044809533
ORA27,2020,-.10800368,-.26785734,-.2898359,-.4343698,-.51908493,.88946575,2.5643406,.35953572,1.7760813,1.850135
ORA28,2010,-.57144797,.51740378,.12627119,.10939895,-.21440798,1.0251076,-.57617718,-.26419806,-.51067472,-.52147472
ORA28,2016,-.49663508,-.62101328,-.52620041,-.40364265,-.27337956,-.45677617,-.61142397,-.32359177,-.77966326,-.80044454
ORA28,2020,-.33475143,1.1849569,-.042438187,-.014022644,.27620238,-.27306455,-1.7589294,-1.7379206,-.53292304,-.54454863
ORA29,2010,-.56973559,-.46194136,-.45781648,-.43142986,-.43916282,-.45677617,-.50171965,-.14058419,-.62029135,-.6351589
ORA29,2016,-.54139525,-.46489158,-.38916409,-.057066556,-.16526942,3.2479072,-.50550061,-.16016507,-.71532011,-.73371387
ORA29,2020,-.34517455,.056555178,-.49575773,.16680214,-.064469315,.13729331,.53252584,.41280922,-.18480654,-.1835147
ORA3,2016,-.67827505,-.35255808,-.33752868,1.5311191,-.3075676,-.45677617,-.59086454,-.2818574,-.49160835,-.50170088
ORA3,2020,-.52380931,-.6125865,-.50647724,.66564435,-.08527413,-.45677617,.16482164,.25897589,-.12431397,-.12077748
ORA30,2010,1.6148039,-.33942336,.13286904,-.6225037,-.021332737,-.45677617,-.74797523,-.52852362,-.67288893,-.68970817
ORA30,2016,-.61143404,.75823647,-.34585211,1.8683046,.99762172,-.45677617,-.41137779,.09491051,-.81520063,-.8373006
ORA30,2020,.31073269,5.3989658,5.6995854,-.40494931,6.2865763,-.45677617,-1.0075241,-5.1248674,-1.1768882,-1.2124093
ORA31,2016,-.63069808,-.58328319,-.52620041,.38418227,-.19868357,-.45677617,-.4203127,-.017809182,-.50822628,-.5189355
ORA31,2020,-.58299696,-.52177894,-.38037494,-.32866412,-.52710068,-.45677617,.81377476,.52553052,.27476624,.29311123
ORA32,2010,-.55817717,-.57714248,-.49902016,.20553593,-.47818556,-.45677617,.53663772,.077771291,.91872609,.96096623
ORA32,2016,-.56978953,-.32460663,.16754805,.41813168,-.37508672,-.45677617,.31782049,.17719294,.48393512,.51004171
ORA32,2020,-.51869023,-.32419255,-.084168322,.029977728,-.31218451,1.2928463,-.21129642,.00032953435,-.3053593,-.30854076
ORA33,2010,.39560565,-.52253085,-.29569942,-.60115308,-.37213206,-.45677617,-.40825164,-.10796892,-.21048538,-.21014647
ORA33,2016,-.35195205,-.62101328,-.52620041,-.46110019,-.48676097,-.45677617,.3696838,.22282271,.89467818,.93602604
ORA33,2020,-.42497638,.46779931,.66408747,-.059083894,.74347627,-.45677617,-1.015072,-1.4199097,-.71420324,-.73255557
ORA34,2016,-.59515041,.23935798,-.52620041,-.40269724,-.14964995,-.45677617,-.076132186,2.1646407,-1.0418637,-1.0723743
ORA34,2020,-.59811962,-.23274553,-.27225637,-.24414991,-.25989944,-.45677617,-.58455586,-.26979461,-.85707682,-.88073069
ORA35,2010,-.55988955,-.42559239,-.52620041,-.069879405,-.34531963,-.45677617,-.23758012,.058046572,-.22248314,-.22258934
ORA35,2016,-.57472116,-.56912106,-.4047451,.51233053,-.24754027,-.45677617,-.38301703,-.12540032,-.073632397,-.068215281
ORA35,2020,-.43772572,-.39918613,-.306981,-.42474866,-.53644019,2.2237267,2.8816249,.88481575,.9420439,.98514932
ORA36,2010,.6301986,-.49906099,-.24076748,-.564852,-.33449134,-.45677617,.26498553,.25492191,.31267118,.33242273
ORA36,2016,-.45209241,-.13636905,.60812354,-.36976224,.034289379,-.45677617,-.26028702,.63603789,-.87755889,-.90197271
