"","HHID_panel","year","dsr_std","dar_std","tdr_std","afm_std","dailyincome_pc_std","assets_pc_std","lapc_std","dailyincome_pc_std","assets_pc_std","dsr_std","dar_std","afm_std","tdr_std","lapc_std","clust"
"44","ELA22",2020,3.2114134,0.16281439,-0.45677617,-1.0788292,-0.85300761,-0.40496588,0.59056318,-0.85300761,-0.40496588,3.2114134,0.16281439,-1.0788292,-0.45677617,0.59056318,"4"
"45","ELA23",2010,-0.41132936,-0.18298829,-0.45677617,-0.75260943,-0.53832871,-0.61391485,-0.44840097,-0.53832871,-0.61391485,-0.41132936,-0.18298829,-0.75260943,-0.45677617,-0.44840097,"2"
"46","ELA23",2016,-0.58134919,-0.75427067,3.6259155,-0.032477267,-0.66435254,-0.57455027,-0.38627714,-0.66435254,-0.57455027,-0.58134919,-0.75427067,-0.032477267,3.6259155,-0.38627714,"3"
"47","ELA23",2020,-0.62101424,1.1195132,-0.45677617,-0.11242868,-0.38669822,-0.64069951,0.40412921,-0.38669822,-0.64069951,-0.62101424,1.1195132,-0.11242868,-0.45677617,0.40412921,"4"
"48","ELA24",2010,-0.34639996,0.17683706,-0.45677617,-0.7914502,-0.41084918,1.3531566,0.098041072,-0.41084918,1.3531566,-0.34639996,0.17683706,-0.7914502,-0.45677617,0.098041072,"2"
"49","ELA24",2016,-0.32268047,-0.53252852,-0.45677617,0.89696479,0.2879518,-0.48202363,-0.24690302,0.2879518,-0.48202363,-0.32268047,-0.53252852,0.89696479,-0.45677617,-0.24690302,"2"
"50","ELA24",2020,3.1379097,0.20868337,-0.19723301,-0.77335453,-0.86756939,-0.072142839,0.5459522,-0.86756939,-0.072142839,3.1379097,0.20868337,-0.77335453,-0.19723301,0.5459522,"4"
"51","ELA25",2016,0.38097396,-0.067495756,-0.45677617,-0.57350367,-0.70096767,0.095914736,-0.15309307,-0.70096767,0.095914736,0.38097396,-0.067495756,-0.57350367,-0.45677617,-0.15309307,"2"
"52","ELA25",2020,-0.3817617,-0.62090456,-0.45677617,-1.6086171,-0.68966752,0.13426463,-0.29271129,-0.68966752,0.13426463,-0.3817617,-0.62090456,-1.6086171,-0.45677617,-0.29271129,"2"
"53","ELA26",2010,0.051449623,-0.23846333,-0.45677617,-0.59551424,-0.08296866,-0.43956199,-0.32968834,-0.08296866,-0.43956199,0.051449623,-0.23846333,-0.59551424,-0.45677617,-0.32968834,"2"
